move_id,event_id,move_type,cargo_type,yard_slot
M97,E1,DSC,TRX,18
M98,E1,LDS,IMP,14
M99,E1,TSS,IMP,28
M100,E1,RHL,EXP,35
M101,E1,DSC,EXP,31
M102,E1,DSC,TRX,32
M103,E1,LDS,IMP,15
M104,E1,LDS,TRI,36
M105,E1,LDS,TRI,20
M106,E1,LDS,EXP,20
M107,E1,TSS,TRI,37
M108,E1,LDS,TRX,35
M109,E1,DSC,IMP,39
M110,E1,LDS,IMP,34
M111,E1,TSM,IMP,32
M112,E1,DSC,EXP,5
M113,E1,TSM,TRX,27
M114,E1,TSM,TRX,18
M115,E1,DSC,TRX,9
M116,E1,DSC,TRX,34
M117,E1,DSC,EXP,27
M118,E1,LDS,TRI,9
M119,E1,LDS,IMP,3
M120,E1,DSC,EXP,1
M121,E1,LDS,TRI,23
M122,E1,DSC,TRX,7
M123,E1,LDS,IMP,33
M124,E1,LDS,EXP,34
M125,E1,TSS,IMP,25
M126,E1,LDS,EXP,35
M127,E1,DSC,EXP,34
M128,E1,DSC,EXP,15
M129,E1,TSM,TRI,12
M130,E1,DSC,TRI,13
M131,E1,DSC,EXP,7
M132,E1,DSC,EXP,9
M133,E1,RHL,TRI,25
M134,E1,DSC,TRX,35
M135,E1,RHL,EXP,13
M136,E1,LDS,IMP,7
M137,E1,DSC,TRI,24
M138,E1,DSC,TRI,33
M139,E1,TSM,EXP,5
M140,E1,LDS,IMP,3
M141,E1,RHL,TRX,10
M142,E1,DSC,IMP,14
M143,E1,DSC,EXP,19
M144,E1,TSM,IMP,38
M145,E1,DSC,TRX,5
M146,E1,RHL,TRI,26
M147,E1,LDS,TRI,28
M148,E1,DSC,TRI,1
M149,E1,LDS,IMP,13
M150,E1,DSC,TRX,24
M151,E1,RHL,TRX,13
M152,E1,LDS,IMP,33
M153,E1,RHL,TRI,6
M154,E1,RHL,TRX,37
M155,E1,LDS,TRI,17
M156,E1,DSC,IMP,11
M157,E1,TSS,TRX,9
M158,E1,TSS,TRI,28
M159,E1,RHL,TRX,14
M160,E1,LDS,IMP,22
M161,E1,DSC,IMP,1
M162,E1,TSS,IMP,15
M163,E1,DSC,TRI,22
M164,E1,DSC,TRX,37
M165,E1,DSC,IMP,25
M166,E1,LDS,TRX,42
M167,E1,DSC,IMP,26
M168,E1,TSM,IMP,8
M169,E1,LDS,EXP,17
M170,E1,LDS,IMP,13
M171,E1,LDS,IMP,7
M172,E1,DSC,TRI,22
M173,E1,LDS,TRX,34
M174,E1,LDS,IMP,41
M175,E1,LDS,IMP,36
M176,E1,LDS,IMP,25
M177,E1,TSM,EXP,25
M178,E1,LDS,EXP,32
M179,E1,LDS,IMP,28
M180,E1,TSM,TRX,19
M181,E1,LDS,TRI,24
M182,E1,LDS,TRX,42
M183,E1,DSC,TRI,19
M184,E1,DSC,EXP,38
M185,E1,DSC,EXP,27
M186,E1,RHL,TRX,4
M187,E1,TSS,TRX,4
M188,E1,LDS,TRI,5
M189,E1,RHL,EXP,28
M190,E1,LDS,TRI,16
M191,E1,DSC,IMP,30
M192,E1,DSC,EXP,39
M193,E1,LDS,IMP,40
M194,E1,LDS,IMP,14
M195,E1,TSS,TRI,34
M196,E1,DSC,TRI,29
M197,E1,DSC,TRX,30
M198,E1,LDS,TRX,24
M199,E1,RHL,EXP,19
M200,E1,RHL,EXP,31
M201,E1,DSC,TRI,33
M202,E1,LDS,TRI,18
M203,E1,DSC,EXP,41
M204,E1,DSC,EXP,13
M205,E1,TSM,EXP,3
M206,E1,LDS,IMP,18
M207,E1,DSC,IMP,40
M208,E1,DSC,EXP,35
M209,E1,DSC,IMP,11
M210,E1,LDS,TRI,31
M211,E1,LDS,EXP,22
M212,E1,DSC,EXP,5
M213,E1,RHL,TRX,40
M214,E1,TSS,EXP,29
M215,E1,LDS,TRI,25
M216,E1,TSS,TRI,10
M217,E1,LDS,TRI,19
M218,E1,LDS,EXP,28
M219,E1,LDS,IMP,30
M220,E1,TSS,IMP,35
M221,E1,DSC,TRX,30
M222,E1,DSC,IMP,5
M223,E1,DSC,IMP,20
M224,E1,LDS,TRI,19
M225,E1,TSS,EXP,23
M226,E1,LDS,TRI,24
M227,E1,TSM,TRI,29
M228,E1,LDS,TRI,29
M229,E1,LDS,TRI,30
M230,E1,DSC,TRX,34
M231,E1,DSC,TRI,24
M232,E1,DSC,TRX,38
M233,E1,LDS,EXP,37
M234,E1,LDS,TRX,35
M235,E1,DSC,EXP,12
M236,E1,DSC,TRX,19
M237,E1,TSS,EXP,34
M238,E1,DSC,EXP,37
M239,E1,DSC,IMP,42
M240,E1,TSS,TRX,5
M241,E1,LDS,TRI,35
M242,E1,DSC,IMP,18
M243,E1,RHL,TRI,6
M244,E1,DSC,EXP,7
M245,E1,RHL,TRX,16
M246,E1,LDS,TRX,34
M247,E1,DSC,TRX,26
M248,E1,DSC,TRI,9
M249,E1,LDS,IMP,40
M250,E1,TSM,TRX,23
M251,E1,TSS,TRX,6
M252,E1,TSS,IMP,34
M253,E1,LDS,IMP,8
M254,E1,LDS,TRX,10
M255,E1,DSC,EXP,41
M256,E1,LDS,EXP,21
M257,E1,DSC,TRX,34
M258,E1,DSC,IMP,31
M259,E1,DSC,IMP,20
M260,E1,LDS,EXP,4
M261,E1,RHL,IMP,38
M262,E1,LDS,IMP,21
M263,E1,DSC,EXP,23
M264,E1,DSC,EXP,39
M265,E1,LDS,EXP,29
M266,E1,DSC,TRI,26
M267,E1,DSC,TRI,41
M268,E1,LDS,TRX,17
M269,E1,LDS,TRX,22
M270,E1,LDS,IMP,31
M271,E1,TSS,TRX,4
M272,E1,DSC,EXP,25
M273,E1,TSM,TRI,4
M274,E1,LDS,EXP,1
M275,E1,TSS,TRI,29
M276,E1,RHL,TRX,39
M277,E1,TSS,TRX,11
M278,E1,RHL,EXP,17
M279,E1,TSM,EXP,41
M280,E1,RHL,TRI,34
M281,E1,LDS,EXP,37
M282,E1,RHL,IMP,14
M283,E1,TSS,EXP,9
M284,E1,DSC,TRI,40
M285,E1,LDS,IMP,31
M286,E1,LDS,IMP,38
M287,E1,LDS,TRI,2
M288,E1,RHL,TRX,13
M289,E1,TSM,IMP,29
M290,E1,DSC,TRX,34
M291,E1,LDS,TRI,21
M292,E1,DSC,IMP,36
M293,E1,DSC,TRX,5
M294,E1,DSC,EXP,7
M295,E1,LDS,TRX,8
M296,E1,LDS,IMP,25
M297,E1,LDS,TRX,16
M298,E1,DSC,IMP,30
M299,E1,RHL,EXP,40
M300,E1,DSC,TRX,35
M301,E1,RHL,TRI,26
M302,E1,LDS,IMP,17
M303,E1,DSC,TRX,8
M304,E1,DSC,TRI,37
M305,E1,LDS,TRI,29
M306,E1,TSS,IMP,7
M307,E1,DSC,IMP,9
M308,E1,LDS,EXP,12
M309,E1,DSC,IMP,30
M310,E1,LDS,IMP,7
M311,E1,DSC,EXP,8
M312,E1,LDS,IMP,22
M313,E1,TSM,TRX,33
M314,E1,DSC,EXP,10
M315,E1,TSS,TRX,31
M316,E1,DSC,TRX,40
M317,E1,DSC,TRX,40
M318,E1,LDS,EXP,39
M319,E1,LDS,TRI,22
M320,E1,DSC,TRI,42
M321,E1,LDS,TRX,14
M322,E1,LDS,TRI,7
M323,E1,LDS,EXP,17
M324,E1,RHL,TRI,36
M325,E1,DSC,EXP,37
M326,E1,LDS,EXP,37
M327,E1,TSM,EXP,6
M328,E1,DSC,TRX,37
M329,E1,LDS,TRI,22
M330,E1,DSC,TRI,18
M331,E1,LDS,IMP,29
M332,E1,TSM,EXP,16
M333,E1,TSM,IMP,36
M334,E1,TSM,EXP,22
M335,E1,LDS,IMP,1
M336,E1,DSC,TRI,16
M337,E1,RHL,TRI,11
M338,E1,DSC,IMP,30
M339,E1,DSC,EXP,9
M340,E1,DSC,TRX,40
M341,E1,LDS,IMP,11
M342,E1,DSC,TRX,3
M343,E1,DSC,TRX,8
M344,E1,LDS,EXP,22
M345,E1,LDS,TRI,16
M346,E1,LDS,TRI,4
M347,E1,LDS,IMP,10
M348,E1,LDS,TRX,39
M349,E1,DSC,TRI,27
M350,E1,TSS,TRX,19
M351,E1,LDS,TRX,27
M352,E1,TSS,IMP,37
M353,E1,DSC,TRI,34
M354,E1,LDS,TRX,2
M355,E1,DSC,IMP,19
M356,E1,RHL,TRX,25
M357,E1,LDS,TRI,38
M358,E1,TSS,EXP,8
M359,E1,TSS,EXP,33
M360,E1,TSS,IMP,31
M361,E1,LDS,EXP,35
M362,E1,DSC,TRX,16
M363,E1,TSS,TRI,35
M364,E1,LDS,EXP,15
M365,E1,LDS,TRX,37
M366,E1,DSC,IMP,7
M367,E1,LDS,EXP,8
M368,E1,TSS,TRX,1
M369,E1,DSC,TRI,2
M370,E1,DSC,IMP,29
M371,E1,TSS,TRX,10
M372,E1,DSC,EXP,3
M373,E1,DSC,TRX,21
M374,E1,DSC,TRX,10
M375,E1,TSM,TRX,14
M376,E1,DSC,IMP,13
M377,E1,DSC,TRI,31
M378,E1,DSC,EXP,35
M379,E1,LDS,EXP,4
M380,E1,LDS,TRI,21
M381,E1,TSM,TRI,27
M382,E1,LDS,EXP,22
M383,E1,LDS,TRX,27
M384,E1,DSC,EXP,20
M385,E1,DSC,EXP,18
M386,E1,DSC,EXP,33
M387,E1,LDS,TRI,24
M388,E1,RHL,IMP,38
M389,E1,LDS,TRI,12
M390,E1,LDS,TRI,9
M391,E1,LDS,IMP,30
M392,E1,TSM,TRX,34
M393,E1,DSC,IMP,1
M394,E1,LDS,TRI,35
M395,E1,DSC,IMP,11
M396,E1,DSC,EXP,16
M397,E1,DSC,IMP,12
M398,E1,RHL,EXP,3
M399,E1,LDS,TRX,1
M400,E1,TSM,TRX,4
M401,E1,DSC,TRI,21
M402,E1,LDS,IMP,34
M403,E1,DSC,EXP,39
M404,E1,RHL,EXP,8
M405,E1,LDS,EXP,29
M406,E1,LDS,TRI,16
M407,E1,DSC,EXP,38
M408,E1,LDS,TRI,3
M409,E1,DSC,IMP,37
M410,E1,LDS,EXP,21
M411,E1,DSC,IMP,39
M412,E1,LDS,TRX,33
M413,E1,LDS,TRI,2
M414,E1,DSC,EXP,37
M415,E1,LDS,EXP,40
M416,E1,DSC,TRI,28
M417,E1,DSC,TRI,40
M418,E1,RHL,TRI,38
M419,E1,LDS,EXP,25
M420,E1,DSC,EXP,32
M421,E1,LDS,TRX,4
M422,E1,DSC,TRX,24
M423,E1,LDS,IMP,9
M424,E1,LDS,EXP,10
M425,E1,RHL,IMP,1
M426,E1,DSC,EXP,6
M427,E1,LDS,TRI,31
M428,E1,LDS,IMP,3
M429,E1,LDS,EXP,19
M430,E1,DSC,EXP,27
M431,E1,LDS,EXP,24
M432,E1,DSC,EXP,3
M433,E1,DSC,IMP,22
M434,E1,LDS,EXP,30
M435,E1,TSS,EXP,25
M436,E1,LDS,IMP,14
M437,E1,LDS,EXP,12
M438,E1,RHL,EXP,31
M439,E1,DSC,EXP,39
M440,E1,LDS,TRI,31
M441,E1,LDS,EXP,32
M442,E1,DSC,TRX,27
M443,E1,DSC,TRI,24
M444,E1,TSM,IMP,34
M445,E1,DSC,TRI,33
M446,E1,LDS,EXP,18
M447,E1,DSC,IMP,10
M448,E1,RHL,TRI,9
M449,E1,RHL,IMP,2
M450,E1,TSM,TRX,29
M451,E2,TSS,TRX,21
M452,E2,DSC,IMP,20
M453,E2,LDS,EXP,32
M454,E2,DSC,EXP,33
M455,E2,LDS,IMP,14
M456,E2,DSC,TRX,31
M457,E2,LDS,EXP,34
M458,E2,LDS,TRI,21
M459,E2,RHL,TRX,10
M460,E2,TSS,TRI,35
M461,E2,LDS,TRX,9
M462,E2,LDS,TRI,15
M463,E2,DSC,TRI,23
M464,E2,LDS,EXP,3
M465,E2,TSS,TRX,37
M466,E2,DSC,TRI,5
M467,E2,TSM,EXP,36
M468,E2,LDS,IMP,24
M469,E2,DSC,TRI,6
M470,E2,RHL,IMP,26
M471,E2,LDS,TRX,25
M472,E2,TSM,TRI,32
M473,E2,LDS,EXP,11
M474,E2,TSM,EXP,31
M475,E2,RHL,TRI,16
M476,E2,LDS,TRI,28
M477,E2,RHL,TRX,38
M478,E2,DSC,TRI,2
M479,E2,TSS,IMP,24
M480,E2,TSM,TRX,18
M481,E2,DSC,TRX,38
M482,E2,DSC,TRI,17
M483,E2,DSC,IMP,23
M484,E2,DSC,TRI,37
M485,E2,DSC,EXP,42
M486,E2,LDS,TRI,24
M487,E2,DSC,EXP,5
M488,E2,LDS,TRX,40
M489,E2,LDS,TRI,5
M490,E2,TSS,TRX,25
M491,E2,TSM,TRX,3
M492,E2,RHL,TRI,20
M493,E2,LDS,TRX,2
M494,E2,DSC,EXP,18
M495,E2,DSC,EXP,16
M496,E2,LDS,TRX,1
M497,E2,DSC,TRX,42
M498,E2,RHL,IMP,40
M499,E2,TSS,TRI,17
M500,E2,DSC,IMP,21
M501,E2,RHL,EXP,26
M502,E2,LDS,EXP,11
M503,E2,DSC,TRX,37
M504,E2,DSC,TRX,19
M505,E2,LDS,TRX,16
M506,E2,LDS,TRI,21
M507,E2,LDS,EXP,5
M508,E2,TSM,IMP,20
M509,E2,DSC,TRX,33
M510,E2,RHL,TRX,3
M511,E2,DSC,TRX,31
M512,E2,DSC,TRI,26
M513,E2,LDS,TRX,17
M514,E2,LDS,TRI,24
M515,E2,LDS,TRI,12
M516,E2,DSC,EXP,37
M517,E2,TSS,TRX,42
M518,E2,LDS,TRI,11
M519,E2,DSC,TRX,40
M520,E2,LDS,EXP,42
M521,E2,DSC,IMP,31
M522,E2,LDS,EXP,18
M523,E2,LDS,TRX,17
M524,E2,LDS,TRX,25
M525,E2,TSM,EXP,4
M526,E2,DSC,IMP,3
M527,E2,DSC,TRI,35
M528,E2,TSM,IMP,26
M529,E2,DSC,IMP,35
M530,E2,TSS,EXP,24
M531,E2,DSC,TRX,42
M532,E2,DSC,TRX,40
M533,E2,LDS,EXP,37
M534,E2,LDS,EXP,35
M535,E2,DSC,EXP,29
M536,E2,DSC,IMP,36
M537,E2,TSM,TRI,32
M538,E2,LDS,EXP,21
M539,E2,TSS,TRI,37
M540,E2,LDS,TRI,41
M541,E2,LDS,TRI,15
M542,E2,DSC,EXP,24
M543,E2,LDS,IMP,10
M544,E2,DSC,TRI,6
M545,E2,DSC,TRI,31
M546,E2,DSC,EXP,27
M547,E2,LDS,TRX,23
M548,E2,RHL,TRX,36
M549,E2,DSC,TRI,18
M550,E2,DSC,TRI,16
M551,E2,TSM,TRX,37
M552,E2,TSS,IMP,12
M553,E2,TSS,EXP,35
M554,E2,DSC,IMP,18
M555,E2,DSC,TRI,5
M556,E2,LDS,IMP,14
M557,E2,DSC,TRI,1
M558,E2,RHL,TRI,16
M559,E2,RHL,TRX,26
M560,E2,DSC,IMP,31
M561,E2,LDS,TRX,17
M562,E2,TSS,IMP,1
M563,E2,LDS,EXP,21
M564,E2,LDS,TRI,33
M565,E2,LDS,TRI,41
M566,E2,LDS,TRI,20
M567,E2,DSC,TRI,39
M568,E2,DSC,TRI,14
M569,E2,RHL,EXP,4
M570,E2,RHL,TRI,14
M571,E2,DSC,IMP,10
M572,E2,DSC,TRI,12
M573,E2,LDS,IMP,26
M574,E2,LDS,TRX,7
M575,E2,DSC,EXP,2
M576,E2,TSS,TRI,5
M577,E2,RHL,IMP,38
M578,E2,TSM,TRX,31
M579,E2,TSM,EXP,32
M580,E2,LDS,EXP,18
M581,E2,DSC,TRX,21
M582,E2,TSS,TRI,34
M583,E2,TSM,EXP,41
M584,E2,LDS,IMP,14
M585,E2,LDS,TRI,29
M586,E2,TSS,TRX,33
M587,E2,TSM,IMP,8
M588,E2,TSS,TRX,28
M589,E2,LDS,TRX,25
M590,E2,LDS,TRX,39
M591,E2,LDS,IMP,33
M592,E2,TSM,TRX,29
M593,E2,DSC,IMP,39
M594,E2,DSC,TRI,10
M595,E2,LDS,TRI,17
M596,E2,RHL,TRI,13
M597,E2,RHL,TRX,4
M598,E2,TSS,EXP,32
M599,E2,DSC,EXP,42
M600,E2,RHL,EXP,8
M601,E2,RHL,TRI,17
M602,E2,DSC,IMP,22
M603,E2,DSC,TRI,30
M604,E2,DSC,IMP,28
M605,E2,DSC,TRI,42
M606,E2,DSC,IMP,36
M607,E2,LDS,TRX,16
M608,E2,DSC,TRX,4
M609,E2,RHL,IMP,10
M610,E2,TSS,EXP,7
M611,E2,DSC,TRI,15
M612,E2,TSS,IMP,27
M613,E2,DSC,TRX,2
M614,E2,TSS,TRX,32
M615,E2,DSC,EXP,35
M616,E2,LDS,EXP,36
M617,E2,LDS,TRX,25
M618,E2,DSC,TRI,21
M619,E2,TSS,TRI,39
M620,E2,DSC,EXP,12
M621,E2,RHL,EXP,38
M622,E2,LDS,EXP,18
M623,E2,DSC,TRI,40
M624,E2,LDS,TRI,13
M625,E2,DSC,IMP,14
M626,E2,RHL,TRI,20
M627,E2,RHL,EXP,10
M628,E2,DSC,TRI,28
M629,E2,LDS,TRX,18
M630,E2,LDS,IMP,7
M631,E2,DSC,TRX,16
M632,E2,LDS,IMP,19
M633,E2,DSC,TRI,6
M634,E2,LDS,TRX,15
M635,E2,TSM,TRX,13
M636,E2,RHL,EXP,29
M637,E2,LDS,TRI,27
M638,E2,DSC,TRX,18
M639,E2,DSC,IMP,40
M640,E2,DSC,TRX,24
M641,E2,DSC,TRI,25
M642,E2,LDS,TRI,7
M643,E2,TSS,IMP,35
M644,E2,LDS,TRX,14
M645,E2,DSC,TRI,2
M646,E2,LDS,TRI,2
M647,E2,LDS,EXP,31
M648,E2,DSC,EXP,30
M649,E2,LDS,TRX,42
M650,E2,LDS,EXP,2
M651,E2,TSM,TRX,28
M652,E2,TSS,IMP,4
M653,E2,DSC,TRX,42
M654,E2,LDS,EXP,34
M655,E2,TSM,EXP,32
M656,E2,LDS,EXP,33
M657,E2,LDS,IMP,1
M658,E2,DSC,TRI,31
M659,E2,RHL,IMP,28
M660,E2,LDS,IMP,24
M661,E2,TSS,IMP,7
M662,E2,DSC,IMP,7
M663,E2,DSC,IMP,5
M664,E2,LDS,EXP,6
M665,E2,LDS,TRI,19
M666,E2,DSC,EXP,16
M667,E2,LDS,TRX,4
M668,E2,TSM,TRX,11
M669,E2,LDS,TRX,9
M670,E2,TSS,IMP,33
M671,E2,DSC,EXP,27
M672,E2,LDS,IMP,27
M673,E2,TSS,EXP,10
M674,E2,RHL,IMP,25
M675,E2,DSC,IMP,26
M676,E2,DSC,TRI,35
M677,E2,LDS,IMP,25
M678,E2,LDS,IMP,14
M679,E2,DSC,IMP,27
M680,E2,DSC,TRX,14
M681,E2,LDS,EXP,37
M682,E2,TSM,IMP,26
M683,E2,LDS,TRI,39
M684,E2,DSC,TRI,6
M685,E2,LDS,TRX,25
M686,E2,DSC,TRX,22
M687,E2,LDS,IMP,20
M688,E2,TSS,IMP,11
M689,E2,LDS,TRI,26
M690,E2,TSS,IMP,24
M691,E2,DSC,TRI,31
M692,E2,TSM,TRX,1
M693,E2,LDS,IMP,1
M694,E2,LDS,TRI,16
M695,E2,LDS,TRI,20
M696,E2,DSC,IMP,21
M697,E2,DSC,IMP,34
M698,E2,RHL,TRI,4
M699,E2,TSS,EXP,17
M700,E2,LDS,TRX,42
M701,E2,TSS,TRX,6
M702,E2,DSC,IMP,6
M703,E2,LDS,EXP,17
M704,E2,DSC,TRI,10
M705,E2,TSS,TRI,42
M706,E2,DSC,TRX,4
M707,E2,LDS,IMP,36
M708,E2,DSC,TRI,41
M709,E2,LDS,EXP,38
M710,E2,LDS,TRX,27
M711,E2,DSC,IMP,12
M712,E2,RHL,TRX,9
M713,E2,LDS,TRX,28
M714,E2,RHL,TRX,21
M715,E2,TSS,IMP,8
M716,E2,TSM,TRI,36
M717,E2,LDS,IMP,26
M718,E2,DSC,IMP,14
M719,E2,DSC,TRI,35
M720,E2,DSC,IMP,10
M721,E2,TSS,TRX,27
M722,E2,DSC,TRX,25
M723,E2,DSC,TRX,32
M724,E2,LDS,TRX,33
M725,E2,RHL,IMP,36
M726,E2,RHL,EXP,38
M727,E2,DSC,IMP,23
M728,E2,TSS,TRI,25
M729,E2,LDS,TRX,29
M730,E2,LDS,TRX,23
M731,E2,RHL,EXP,31
M732,E2,LDS,TRX,21
M733,E2,DSC,TRX,15
M734,E2,LDS,TRI,27
M735,E2,LDS,TRI,5
M736,E2,RHL,TRI,25
M737,E2,DSC,EXP,28
M738,E2,TSM,IMP,36
M739,E2,DSC,TRX,34
M740,E2,LDS,TRX,8
M741,E2,DSC,IMP,20
M742,E2,LDS,EXP,3
M743,E2,TSM,TRI,37
M744,E2,DSC,TRX,22
M745,E2,LDS,TRX,23
M746,E2,RHL,IMP,16
M747,E2,RHL,EXP,13
M748,E2,TSS,TRI,8
M749,E2,DSC,EXP,38
M750,E2,DSC,TRI,21
M751,E2,LDS,TRI,39
M752,E2,TSS,TRI,8
M753,E2,DSC,IMP,12
M754,E2,LDS,TRI,19
M755,E2,DSC,EXP,17
M756,E2,LDS,TRI,2
M757,E2,DSC,TRI,33
M758,E2,DSC,TRX,11
M759,E2,TSS,EXP,40
M760,E2,DSC,EXP,35
M761,E2,RHL,TRI,20
M762,E2,DSC,TRI,42
M763,E2,RHL,EXP,31
M764,E2,LDS,TRI,23
M765,E2,RHL,TRI,37
M766,E2,RHL,EXP,5
M767,E2,TSM,IMP,37
M768,E2,TSM,IMP,20
M769,E2,TSS,IMP,37
M770,E2,TSM,EXP,24
M771,E2,DSC,EXP,4
M772,E2,TSM,IMP,10
M773,E2,DSC,EXP,34
M774,E2,LDS,TRX,34
M775,E2,LDS,IMP,34
M776,E2,LDS,TRX,13
M777,E2,TSS,IMP,27
M778,E2,DSC,EXP,6
M779,E2,LDS,IMP,36
M780,E2,TSM,IMP,9
M781,E2,TSS,TRI,22
M782,E2,DSC,TRI,10
M783,E2,TSM,EXP,28
M784,E2,TSM,IMP,39
M785,E2,LDS,TRI,11
M786,E2,DSC,EXP,3
M787,E2,DSC,TRI,20
M788,E2,TSM,IMP,27
M789,E2,DSC,EXP,39
M790,E2,LDS,IMP,1
M791,E2,LDS,EXP,26
M792,E2,TSS,TRX,23
M793,E2,DSC,TRI,26
M794,E2,DSC,EXP,17
M795,E2,DSC,TRI,34
M796,E2,LDS,TRI,30
M797,E2,LDS,TRX,12
M798,E2,DSC,EXP,17
M799,E2,LDS,EXP,22
M800,E2,DSC,TRI,39
M801,E2,LDS,TRI,37
M802,E2,TSS,EXP,20
M803,E2,DSC,TRI,33
M804,E2,DSC,EXP,3
M805,E2,RHL,IMP,6
M806,E2,LDS,EXP,29
M807,E2,DSC,TRX,36
M808,E2,TSM,TRI,23
M809,E2,DSC,IMP,25
M810,E2,TSM,TRX,15
M811,E2,DSC,EXP,25
M812,E2,TSM,IMP,31
M813,E2,TSM,IMP,4
M814,E2,LDS,TRX,5
M815,E2,LDS,EXP,10
M816,E2,DSC,EXP,32
M817,E2,TSM,TRI,22
M818,E2,DSC,EXP,10
M819,E2,RHL,TRI,3
M820,E2,DSC,EXP,16
M821,E2,TSS,TRX,24
M822,E2,LDS,IMP,18
M823,E2,DSC,IMP,12
M824,E2,RHL,IMP,8
M825,E2,DSC,EXP,38
M826,E2,DSC,TRX,34
M827,E2,DSC,IMP,6
M828,E2,LDS,IMP,5
M829,E2,TSM,EXP,11
M830,E2,TSM,IMP,19
M831,E2,LDS,TRX,23
M832,E2,LDS,TRX,30
M833,E2,DSC,EXP,31
M834,E2,TSM,IMP,29
M835,E2,RHL,TRX,35
M836,E2,DSC,EXP,3
M837,E2,DSC,EXP,2
M838,E2,DSC,TRX,32
M839,E2,LDS,IMP,30
M840,E2,DSC,TRI,1
M841,E2,DSC,IMP,22
M842,E2,DSC,TRI,31
M843,E2,DSC,TRI,11
M844,E2,DSC,TRX,28
M845,E2,LDS,TRX,17
M846,E2,DSC,TRX,15
M847,E2,LDS,EXP,30
M848,E2,LDS,TRI,11
M849,E2,TSM,TRI,16
M850,E2,LDS,TRX,11
M851,E2,LDS,TRI,19
M852,E2,LDS,IMP,23
M853,E2,LDS,IMP,32
M854,E2,RHL,TRX,1
M855,E2,LDS,TRX,18
M856,E2,LDS,TRX,4
M857,E2,DSC,TRX,41
M858,E2,LDS,EXP,2
M859,E2,DSC,TRX,4
M860,E2,DSC,IMP,16
M861,E2,LDS,TRX,3
M862,E2,DSC,IMP,28
M863,E2,DSC,IMP,5
M864,E2,LDS,TRX,10
M865,E2,DSC,TRI,13
M866,E2,LDS,TRX,20
M867,E2,TSM,EXP,16
M868,E2,RHL,TRI,20
M869,E2,RHL,EXP,8
M870,E2,TSS,TRI,16
M871,E2,DSC,IMP,33
M872,E2,LDS,TRX,42
