ID_NUMBER,REL_NUM,CL_SUMMARY_TYPE,CTR_OPERATOR_BIC,CRANE_ID,NO_OF_MOVES,MOVE_DESCRIPTION,TYPE_OF_MOVE,EQ_TYPE,CONTAINER_SIZE,EMPTY_FULL,DEEP_SHORT_SEA,TRANSHIPMENT_FLAG,FK_TERMINAL_CALL,FK_TDR_REL
0,1,O,MSK,,141,TSM_FUL_20,TSM,CN,20,FUL,D,Y,0,1
0,1,V,,,317,TTL_HCV,,HCV,,,,,0,1
0,1,C,,Q01,1941,TTL_MOVES,,,,,,,0,1
0,1,C,,Q02,1941,TTL_MOVES,,,,,,,0,1
0,1,C,,Q03,1941,TTL_MOVES,,,,,,,0,1
0,1,C,,Q04,1941,TTL_MOVES,,,,,,,0,1
0,1,C,,Q05,1941,TTL_MOVES,,,,,,,0,1
1,1,O,OOL,,726,LOAD_FUL_45,LOAD,CN,45,FUL,,,1,1
1,1,O,OOL,,762,DISC_FUL_20,DISC,CN,20,FUL,,,1,1
1,1,O,OOL,,163,RDR_FUL_45,RDR,CN,45,FUL,S,,1,1
1,1,O,OOL,,91,RSOB_FUL_45,RSOB,CN,45,FUL,,,1,1
1,1,O,OOL,,73,TSM_MT_20,TSM,CN,20,MT,S,Y,1,1
1,1,O,WHL,,363,LOAD_MT_20,LOAD,CN,20,MT,,Y,1,1
1,1,O,WHL,,381,DISC_FUL_40,DISC,CN,40,FUL,D,,1,1
1,1,O,WHL,,82,RDR_FUL_20,RDR,CN,20,FUL,,,1,1
1,1,O,WHL,,45,RSOB_MT_45,RSOB,CN,45,MT,D,,1,1
1,1,O,WHL,,36,TSM_FUL_45,TSM,CN,45,FUL,,Y,1,1
1,1,O,WHL,,1,MCR_FUL_20,MCR,CN,20,FUL,S,,1,1
1,1,O,MSC,,1306,LOAD_MT_45,LOAD,CN,45,MT,D,,1,1
1,1,O,MSC,,1372,DISC_FUL_45,DISC,CN,45,FUL,,,1,1
1,1,O,MSC,,294,RDR_FUL_20,RDR,CN,20,FUL,,,1,1
1,1,O,MSC,,163,RSOB_FUL_45,RSOB,CN,45,FUL,,,1,1
1,1,O,MSC,,131,TSM_FUL_40,TSM,CN,40,FUL,,Y,1,1
1,1,O,HMM,,435,LOAD_FUL_20,LOAD,CN,20,FUL,D,,1,1
1,1,O,HMM,,457,DISC_FUL_40,DISC,CN,40,FUL,S,,1,1
1,1,O,HMM,,98,RDR_MT_45,RDR,CN,45,MT,,,1,1
1,1,O,HMM,,54,RSOB_FUL_45,RSOB,CN,45,FUL,S,,1,1
1,1,O,HMM,,44,TSM_MT_20,TSM,CN,20,MT,S,Y,1,1
1,1,O,HLC,,871,LOAD_FUL_20,LOAD,CN,20,FUL,S,,1,1
1,1,O,HLC,,914,DISC_MT_20,DISC,CN,20,MT,S,,1,1
1,1,O,HLC,,196,RDR_FUL_40,RDR,CN,40,FUL,D,,1,1
1,1,O,HLC,,109,RSOB_FUL_40,RSOB,CN,40,FUL,S,,1,1
1,1,O,HLC,,87,TSM_FUL_40,TSM,CN,40,FUL,D,Y,1,1
1,1,O,CMA,,218,LOAD_FUL_45,LOAD,CN,45,FUL,D,Y,1,1
1,1,O,CMA,,228,DISC_FUL_40,DISC,CN,40,FUL,S,,1,1
1,1,O,CMA,,49,RDR_FUL_45,RDR,CN,45,FUL,,,1,1
1,1,O,CMA,,27,RSOB_FUL_20,RSOB,CN,20,FUL,S,,1,1
1,1,O,CMA,,22,TSM_FUL_20,TSM,CN,20,FUL,D,Y,1,1
1,1,V,,,381,TTL_HCV,,HCV,,,,,1,1
1,1,C,,Q01,2036,TTL_MOVES,,,,,,,1,1
1,1,C,,Q02,2036,TTL_MOVES,,,,,,,1,1
1,1,C,,Q03,2035,TTL_MOVES,,,,,,,1,1
1,1,C,,Q04,2036,TTL_MOVES,,,,,,,1,1
1,1,C,,Q05,2036,TTL_MOVES,,,,,,,1,1
2,1,O,HLC,,1283,LOAD_FUL_20,LOAD,CN,20,FUL,,,2,1
2,1,O,HLC,,1347,DISC_FUL_20,DISC,CN,20,FUL,D,,2,1
2,1,O,HLC,,289,RDR_FUL_45,RDR,CN,45,FUL,S,,2,1
2,1,O,HLC,,160,RSOB_FUL_45,RSOB,CN,45,FUL,D,,2,1
2,1,O,HLC,,128,TSM_FUL_20,TSM,CN,20,FUL,D,Y,2,1
2,1,O,HLC,,1,MCR_FUL_40,MCR,CN,40,FUL,S,,2,1
2,1,O,YML,,428,LOAD_FUL_45,LOAD,CN,45,FUL,,,2,1
2,1,O,YML,,449,DISC_FUL_45,DISC,CN,45,FUL,D,,2,1
2,1,O,YML,,96,RDR_FUL_20,RDR,CN,20,FUL,,,2,1
2,1,O,YML,,53,RSOB_FUL_45,RSOB,CN,45,FUL,D,,2,1
2,1,O,YML,,43,TSM_FUL_20,TSM,CN,20,FUL,,Y,2,1
2,1,O,WHL,,534,LOAD_FUL_20,LOAD,CN,20,FUL,S,,2,1
2,1,O,WHL,,561,DISC_FUL_40,DISC,CN,40,FUL,S,Y,2,1
2,1,O,WHL,,120,RDR_FUL_40,RDR,CN,40,FUL,D,,2,1
2,1,O,WHL,,67,RSOB_FUL_20,RSOB,CN,20,FUL,,,2,1
2,1,O,WHL,,53,TSM_FUL_40,TSM,CN,40,FUL,,Y,2,1
2,1,O,WHL,,1,MCR_FUL_45,MCR,CN,45,FUL,S,,2,1
2,1,V,,,211,TTL_HCV,,HCV,,,,,2,1
2,1,C,,Q01,1165,TTL_MOVES,,,,,,,2,1
2,1,C,,Q02,1165,TTL_MOVES,,,,,,,2,1
2,1,C,,Q03,1164,TTL_MOVES,,,,,,,2,1
2,1,C,,Q04,1165,TTL_MOVES,,,,,,,2,1
2,1,C,,Q05,1165,TTL_MOVES,,,,,,,2,1
3,1,O,HLC,,314,LOAD_MT_45,LOAD,CN,45,MT,D,Y,3,1
3,1,O,HLC,,329,DISC_MT_20,DISC,CN,20,MT,D,,3,1
3,1,O,HLC,,71,RDR_FUL_40,RDR,CN,40,FUL,S,,3,1
3,1,O,HLC,,39,RSOB_FUL_20,RSOB,CN,20,FUL,S,,3,1
3,1,O,HLC,,31,TSM_FUL_20,TSM,CN,20,FUL,D,Y,3,1
3,1,O,YML,,105,LOAD_FUL_45,LOAD,CN,45,FUL,,,3,1
3,1,O,YML,,110,DISC_FUL_45,DISC,CN,45,FUL,,,3,1
3,1,O,YML,,24,RDR_FUL_45,RDR,CN,45,FUL,S,,3,1
3,1,O,YML,,13,RSOB_FUL_45,RSOB,CN,45,FUL,D,,3,1
3,1,O,YML,,10,TSM_FUL_40,TSM,CN,40,FUL,D,Y,3,1
3,1,O,HMM,,156,LOAD_FUL_45,LOAD,CN,45,FUL,D,,3,1
3,1,O,HMM,,164,DISC_FUL_20,DISC,CN,20,FUL,,,3,1
3,1,O,HMM,,35,RDR_MT_40,RDR,CN,40,MT,D,,3,1
3,1,O,HMM,,20,RSOB_FUL_20,RSOB,CN,20,FUL,,,3,1
3,1,O,HMM,,16,TSM_MT_20,TSM,CN,20,MT,,Y,3,1
3,1,O,MSK,,522,LOAD_FUL_40,LOAD,CN,40,FUL,,,3,1
3,1,O,MSK,,549,DISC_FUL_45,DISC,CN,45,FUL,,,3,1
3,1,O,MSK,,118,RDR_FUL_20,RDR,CN,20,FUL,,,3,1
3,1,O,MSK,,65,RSOB_FUL_45,RSOB,CN,45,FUL,,,3,1
3,1,O,MSK,,52,TSM_FUL_40,TSM,CN,40,FUL,,Y,3,1
3,1,V,,,38,TTL_HCV,,HCV,,,,,3,1
3,1,C,,Q01,1390,TTL_MOVES,,,,,,,3,1
3,1,C,,Q02,1391,TTL_MOVES,,,,,,,3,1
4,1,O,HMM,,462,LOAD_FUL_45,LOAD,CN,45,FUL,S,,4,1
4,1,O,HMM,,485,DISC_FUL_20,DISC,CN,20,FUL,,,4,1
4,1,O,HMM,,104,RDR_FUL_40,RDR,CN,40,FUL,,,4,1
4,1,O,HMM,,58,RSOB_FUL_20,RSOB,CN,20,FUL,D,,4,1
4,1,O,HMM,,46,TSM_MT_45,TSM,CN,45,MT,S,Y,4,1
4,1,O,MSC,,1385,LOAD_FUL_20,LOAD,CN,20,FUL,,,4,1
4,1,O,MSC,,1454,DISC_FUL_45,DISC,CN,45,FUL,D,Y,4,1
4,1,O,MSC,,312,RDR_FUL_45,RDR,CN,45,FUL,S,,4,1
4,1,O,MSC,,173,RSOB_FUL_40,RSOB,CN,40,FUL,D,,4,1
4,1,O,MSC,,138,TSM_FUL_40,TSM,CN,40,FUL,S,Y,4,1
4,1,O,CMA,,231,LOAD_FUL_40,LOAD,CN,40,FUL,D,,4,1
4,1,O,CMA,,242,DISC_MT_20,DISC,CN,20,MT,,Y,4,1
4,1,O,CMA,,52,RDR_MT_40,RDR,CN,40,MT,,,4,1
4,1,O,CMA,,29,RSOB_FUL_45,RSOB,CN,45,FUL,,,4,1
4,1,O,CMA,,23,TSM_FUL_40,TSM,CN,40,FUL,,Y,4,1
4,1,V,,,98,TTL_HCV,,HCV,,,,,4,1
4,1,C,,Q01,1323,TTL_MOVES,,,,,,,4,1
4,1,C,,Q02,1323,TTL_MOVES,,,,,,,4,1
4,1,C,,Q03,1323,TTL_MOVES,,,,,,,4,1
4,1,C,,Q04,1323,TTL_MOVES,,,,,,,4,1
5,1,O,MSC,,475,LOAD_MT_20,LOAD,CN,20,MT,,,5,1
5,1,O,MSC,,499,DISC_FUL_20,DISC,CN,20,FUL,,,5,1
5,1,O,MSC,,107,RDR_FUL_45,RDR,CN,45,FUL,S,,5,1
5,1,O,MSC,,59,RSOB_MT_20,RSOB,CN,20,MT,S,,5,1
5,1,O,MSC,,47,TSM_FUL_40,TSM,CN,40,FUL,D,Y,5,1
5,1,O,WHL,,132,LOAD_FUL_40,LOAD,CN,40,FUL,S,Y,5,1
5,1,O,WHL,,139,DISC_MT_45,DISC,CN,45,MT,D,Y,5,1
5,1,O,WHL,,30,RDR_FUL_40,RDR,CN,40,FUL,D,,5,1
5,1,O,WHL,,16,RSOB_FUL_45,RSOB,CN,45,FUL,,,5,1
5,1,O,WHL,,13,TSM_FUL_40,TSM,CN,40,FUL,D,Y,5,1
5,1,O,HMM,,158,LOAD_FUL_20,LOAD,CN,20,FUL,D,,5,1
5,1,O,HMM,,166,DISC_FUL_40,DISC,CN,40,FUL,S,,5,1
5,1,O,HMM,,36,RDR_MT_20,RDR,CN,20,MT,D,,5,1
5,1,O,HMM,,20,RSOB_FUL_20,RSOB,CN,20,FUL,S,,5,1
5,1,O,HMM,,15,TSM_FUL_20,TSM,CN,20,FUL,,Y,5,1
5,1,O,ONE,,316,LOAD_FUL_45,LOAD,CN,45,FUL,,,5,1
5,1,O,ONE,,332,DISC_FUL_45,DISC,CN,45,FUL,S,Y,5,1
5,1,O,ONE,,71,RDR_FUL_45,RDR,CN,45,FUL,,,5,1
5,1,O,ONE,,40,RSOB_MT_20,RSOB,CN,20,MT,D,,5,1
5,1,O,ONE,,31,TSM_FUL_40,TSM,CN,40,FUL,,Y,5,1
5,1,V,,,35,TTL_HCV,,HCV,,,,,5,1
5,1,C,,Q01,1369,TTL_MOVES,,,,,,,5,1
5,1,C,,Q02,1368,TTL_MOVES,,,,,,,5,1
6,1,O,YML,,72,LOAD_FUL_40,LOAD,CN,40,FUL,D,,6,1
6,1,O,YML,,76,DISC_FUL_20,DISC,CN,20,FUL,S,,6,1
6,1,O,YML,,16,RDR_MT_40,RDR,CN,40,MT,D,,6,1
6,1,O,YML,,9,RSOB_FUL_45,RSOB,CN,45,FUL,S,,6,1
6,1,O,YML,,7,TSM_FUL_20,TSM,CN,20,FUL,S,Y,6,1
6,1,O,YML,,1,MCR_FUL_40,MCR,CN,40,FUL,D,,6,1
6,1,O,ONE,,217,LOAD_FUL_20,LOAD,CN,20,FUL,,,6,1
6,1,O,ONE,,228,DISC_FUL_40,DISC,CN,40,FUL,S,,6,1
6,1,O,ONE,,49,RDR_FUL_20,RDR,CN,20,FUL,S,,6,1
6,1,O,ONE,,27,RSOB_FUL_20,RSOB,CN,20,FUL,S,,6,1
6,1,O,ONE,,21,TSM_FUL_45,TSM,CN,45,FUL,,Y,6,1
6,1,O,HLC,,216,LOAD_FUL_45,LOAD,CN,45,FUL,,Y,6,1
6,1,O,HLC,,227,DISC_FUL_45,DISC,CN,45,FUL,D,,6,1
6,1,O,HLC,,49,RDR_MT_40,RDR,CN,40,MT,,,6,1
6,1,O,HLC,,27,RSOB_FUL_45,RSOB,CN,45,FUL,S,,6,1
6,1,O,HLC,,22,TSM_FUL_40,TSM,CN,40,FUL,D,Y,6,1
6,1,O,WHL,,90,LOAD_MT_45,LOAD,CN,45,MT,,Y,6,1
6,1,O,WHL,,94,DISC_MT_40,DISC,CN,40,MT,,,6,1
6,1,O,WHL,,20,RDR_FUL_40,RDR,CN,40,FUL,,,6,1
6,1,O,WHL,,11,RSOB_FUL_45,RSOB,CN,45,FUL,D,,6,1
6,1,O,WHL,,9,TSM_FUL_45,TSM,CN,45,FUL,S,Y,6,1
6,1,O,WHL,,1,MCR_FUL_40,MCR,CN,40,FUL,,,6,1
6,1,V,,,16,TTL_HCV,,HCV,,,,,6,1
6,1,C,,Q01,752,TTL_MOVES,,,,,,,6,1
6,1,C,,Q02,753,TTL_MOVES,,,,,,,6,1
7,1,O,HMM,,199,LOAD_FUL_40,LOAD,CN,40,FUL,S,,7,1
7,1,O,HMM,,209,DISC_FUL_40,DISC,CN,40,FUL,D,,7,1
7,1,O,HMM,,45,RDR_MT_40,RDR,CN,40,MT,S,,7,1
7,1,O,HMM,,25,RSOB_FUL_40,RSOB,CN,40,FUL,,,7,1
7,1,O,HMM,,20,TSM_MT_45,TSM,CN,45,MT,,Y,7,1
7,1,O,EMC,,332,LOAD_FUL_45,LOAD,CN,45,FUL,,,7,1
7,1,O,EMC,,348,DISC_FUL_45,DISC,CN,45,FUL,S,,7,1
7,1,O,EMC,,75,RDR_FUL_20,RDR,CN,20,FUL,S,,7,1
7,1,O,EMC,,41,RSOB_FUL_45,RSOB,CN,45,FUL,S,,7,1
7,1,O,EMC,,33,TSM_FUL_40,TSM,CN,40,FUL,,Y,7,1
7,1,O,CMA,,99,LOAD_FUL_20,LOAD,CN,20,FUL,S,Y,7,1
7,1,O,CMA,,104,DISC_MT_45,DISC,CN,45,MT,S,,7,1
7,1,O,CMA,,22,RDR_FUL_40,RDR,CN,40,FUL,S,,7,1
7,1,O,CMA,,12,RSOB_MT_40,RSOB,CN,40,MT,D,,7,1
7,1,O,CMA,,10,TSM_FUL_45,TSM,CN,45,FUL,S,Y,7,1
7,1,O,CMA,,1,MCR_FUL_20,MCR,CN,20,FUL,D,,7,1
7,1,O,MSK,,663,LOAD_MT_45,LOAD,CN,45,MT,D,,7,1
7,1,O,MSK,,696,DISC_FUL_45,DISC,CN,45,FUL,,Y,7,1
7,1,O,MSK,,149,RDR_FUL_20,RDR,CN,20,FUL,D,,7,1
7,1,O,MSK,,83,RSOB_FUL_40,RSOB,CN,40,FUL,S,,7,1
7,1,O,MSK,,66,TSM_FUL_45,TSM,CN,45,FUL,S,Y,7,1
7,1,O,OOL,,331,LOAD_FUL_40,LOAD,CN,40,FUL,D,,7,1
7,1,O,OOL,,348,DISC_MT_40,DISC,CN,40,MT,,,7,1
7,1,O,OOL,,75,RDR_FUL_20,RDR,CN,20,FUL,,,7,1
7,1,O,OOL,,41,RSOB_FUL_20,RSOB,CN,20,FUL,S,,7,1
7,1,O,OOL,,33,TSM_FUL_40,TSM,CN,40,FUL,S,Y,7,1
7,1,V,,,163,TTL_HCV,,HCV,,,,,7,1
7,1,C,,Q01,1056,TTL_MOVES,,,,,,,7,1
7,1,C,,Q02,1056,TTL_MOVES,,,,,,,7,1
7,1,C,,Q03,1055,TTL_MOVES,,,,,,,7,1
7,1,C,,Q04,1056,TTL_MOVES,,,,,,,7,1
8,1,O,OOL,,182,LOAD_FUL_45,LOAD,CN,45,FUL,S,,8,1
8,1,O,OOL,,191,DISC_FUL_45,DISC,CN,45,FUL,S,,8,1
8,1,O,OOL,,41,RDR_FUL_45,RDR,CN,45,FUL,,,8,1
8,1,O,OOL,,23,RSOB_FUL_20,RSOB,CN,20,FUL,,,8,1
8,1,O,OOL,,18,TSM_FUL_40,TSM,CN,40,FUL,,Y,8,1
8,1,O,YML,,73,LOAD_FUL_45,LOAD,CN,45,FUL,S,,8,1
8,1,O,YML,,76,DISC_MT_20,DISC,CN,20,MT,D,,8,1
8,1,O,YML,,16,RDR_FUL_40,RDR,CN,40,FUL,S,,8,1
8,1,O,YML,,9,RSOB_FUL_20,RSOB,CN,20,FUL,D,,8,1
8,1,O,YML,,7,TSM_FUL_45,TSM,CN,45,FUL,,Y,8,1
8,1,O,YML,,1,MCR_FUL_40,MCR,CN,40,FUL,S,,8,1
8,1,O,HLC,,218,LOAD_FUL_40,LOAD,CN,40,FUL,D,,8,1
8,1,O,HLC,,229,DISC_FUL_40,DISC,CN,40,FUL,S,,8,1
8,1,O,HLC,,49,RDR_FUL_45,RDR,CN,45,FUL,D,,8,1
8,1,O,HLC,,27,RSOB_FUL_45,RSOB,CN,45,FUL,S,,8,1
8,1,O,HLC,,22,TSM_FUL_20,TSM,CN,20,FUL,S,Y,8,1
8,1,O,HLC,,1,MCR_FUL_45,MCR,CN,45,FUL,S,,8,1
8,1,O,HMM,,109,LOAD_FUL_20,LOAD,CN,20,FUL,D,,8,1
8,1,O,HMM,,115,DISC_FUL_45,DISC,CN,45,FUL,D,Y,8,1
8,1,O,HMM,,25,RDR_FUL_45,RDR,CN,45,FUL,D,,8,1
8,1,O,HMM,,14,RSOB_FUL_20,RSOB,CN,20,FUL,,,8,1
8,1,O,HMM,,10,TSM_FUL_20,TSM,CN,20,FUL,D,Y,8,1
8,1,O,MSC,,327,LOAD_FUL_45,LOAD,CN,45,FUL,D,,8,1
8,1,O,MSC,,344,DISC_MT_20,DISC,CN,20,MT,D,Y,8,1
8,1,O,MSC,,74,RDR_MT_45,RDR,CN,45,MT,D,,8,1
8,1,O,MSC,,41,RSOB_FUL_40,RSOB,CN,40,FUL,S,,8,1
8,1,O,MSC,,32,TSM_MT_40,TSM,CN,40,MT,S,Y,8,1
8,1,O,EMC,,182,LOAD_FUL_40,LOAD,CN,40,FUL,,,8,1
8,1,O,EMC,,191,DISC_MT_45,DISC,CN,45,MT,D,Y,8,1
8,1,O,EMC,,41,RDR_MT_40,RDR,CN,40,MT,,,8,1
8,1,O,EMC,,23,RSOB_FUL_40,RSOB,CN,40,FUL,S,,8,1
8,1,O,EMC,,17,TSM_FUL_45,TSM,CN,45,FUL,D,Y,8,1
8,1,V,,,108,TTL_HCV,,HCV,,,,,8,1
8,1,C,,Q01,709,TTL_MOVES,,,,,,,8,1
8,1,C,,Q02,709,TTL_MOVES,,,,,,,8,1
8,1,C,,Q03,709,TTL_MOVES,,,,,,,8,1
8,1,C,,Q04,709,TTL_MOVES,,,,,,,8,1
9,1,O,MSK,,282,LOAD_MT_40,LOAD,CN,40,MT,,,9,1
9,1,O,MSK,,297,DISC_FUL_20,DISC,CN,20,FUL,,,9,1
9,1,O,MSK,,64,RDR_FUL_45,RDR,CN,45,FUL,S,,9,1
9,1,O,MSK,,35,RSOB_FUL_45,RSOB,CN,45,FUL,S,,9,1
9,1,O,MSK,,28,TSM_FUL_20,TSM,CN,20,FUL,S,Y,9,1
9,1,O,EMC,,141,LOAD_FUL_20,LOAD,CN,20,FUL,,,9,1
9,1,O,EMC,,148,DISC_MT_40,DISC,CN,40,MT,S,Y,9,1
9,1,O,EMC,,32,RDR_FUL_45,RDR,CN,45,FUL,S,,9,1
9,1,O,EMC,,18,RSOB_FUL_40,RSOB,CN,40,FUL,S,,9,1
9,1,O,EMC,,14,TSM_FUL_45,TSM,CN,45,FUL,S,Y,9,1
9,1,O,HLC,,170,LOAD_FUL_20,LOAD,CN,20,FUL,D,,9,1
9,1,O,HLC,,178,DISC_FUL_20,DISC,CN,20,FUL,,,9,1
9,1,O,HLC,,38,RDR_FUL_20,RDR,CN,20,FUL,,,9,1
9,1,O,HLC,,21,RSOB_FUL_20,RSOB,CN,20,FUL,D,,9,1
9,1,O,HLC,,17,TSM_FUL_20,TSM,CN,20,FUL,,Y,9,1
9,1,O,WHL,,70,LOAD_FUL_20,LOAD,CN,20,FUL,D,,9,1
9,1,O,WHL,,74,DISC_FUL_40,DISC,CN,40,FUL,,,9,1
9,1,O,WHL,,16,RDR_FUL_45,RDR,CN,45,FUL,,,9,1
9,1,O,WHL,,9,RSOB_FUL_45,RSOB,CN,45,FUL,,,9,1
9,1,O,WHL,,7,TSM_FUL_40,TSM,CN,40,FUL,,Y,9,1
9,1,O,ONE,,169,LOAD_FUL_20,LOAD,CN,20,FUL,,Y,9,1
9,1,O,ONE,,178,DISC_FUL_20,DISC,CN,20,FUL,S,,9,1
9,1,O,ONE,,38,RDR_FUL_45,RDR,CN,45,FUL,,,9,1
9,1,O,ONE,,21,RSOB_FUL_40,RSOB,CN,40,FUL,S,,9,1
9,1,O,ONE,,17,TSM_MT_20,TSM,CN,20,MT,D,Y,9,1
9,1,V,,,23,TTL_HCV,,HCV,,,,,9,1
9,1,C,,Q01,1052,TTL_MOVES,,,,,,,9,1
9,1,C,,Q02,1053,TTL_MOVES,,,,,,,9,1
10,1,O,ONE,,198,LOAD_FUL_40,LOAD,CN,40,FUL,D,,10,1
10,1,O,ONE,,207,DISC_MT_20,DISC,CN,20,MT,,,10,1
10,1,O,ONE,,44,RDR_FUL_40,RDR,CN,40,FUL,S,,10,1
10,1,O,ONE,,25,RSOB_FUL_40,RSOB,CN,40,FUL,D,,10,1
10,1,O,ONE,,20,TSM_FUL_20,TSM,CN,20,FUL,D,Y,10,1
10,1,O,OOL,,165,LOAD_FUL_20,LOAD,CN,20,FUL,S,,10,1
10,1,O,OOL,,173,DISC_MT_40,DISC,CN,40,MT,D,,10,1
10,1,O,OOL,,37,RDR_FUL_45,RDR,CN,45,FUL,D,,10,1
10,1,O,OOL,,21,RSOB_FUL_45,RSOB,CN,45,FUL,D,,10,1
10,1,O,OOL,,16,TSM_FUL_45,TSM,CN,45,FUL,,Y,10,1
10,1,O,MSK,,329,LOAD_FUL_40,LOAD,CN,40,FUL,,,10,1
10,1,O,MSK,,346,DISC_MT_45,DISC,CN,45,MT,,,10,1
10,1,O,MSK,,74,RDR_FUL_45,RDR,CN,45,FUL,D,,10,1
10,1,O,MSK,,41,RSOB_MT_20,RSOB,CN,20,MT,,,10,1
10,1,O,MSK,,33,TSM_FUL_40,TSM,CN,40,FUL,S,Y,10,1
10,1,O,MSC,,296,LOAD_FUL_20,LOAD,CN,20,FUL,D,,10,1
10,1,O,MSC,,311,DISC_MT_40,DISC,CN,40,MT,D,,10,1
10,1,O,MSC,,67,RDR_MT_45,RDR,CN,45,MT,D,,10,1
10,1,O,MSC,,37,RSOB_MT_40,RSOB,CN,40,MT,,,10,1
10,1,O,MSC,,29,TSM_MT_40,TSM,CN,40,MT,,Y,10,1
10,1,O,YML,,66,LOAD_FUL_20,LOAD,CN,20,FUL,,,10,1
10,1,O,YML,,69,DISC_FUL_20,DISC,CN,20,FUL,S,,10,1
10,1,O,YML,,15,RDR_FUL_40,RDR,CN,40,FUL,D,,10,1
10,1,O,YML,,8,RSOB_FUL_45,RSOB,CN,45,FUL,S,,10,1
10,1,O,YML,,6,TSM_MT_20,TSM,CN,20,MT,S,Y,10,1
10,1,O,CMA,,49,LOAD_FUL_45,LOAD,CN,45,FUL,D,,10,1
10,1,O,CMA,,52,DISC_FUL_40,DISC,CN,40,FUL,D,,10,1
10,1,O,CMA,,11,RDR_FUL_45,RDR,CN,45,FUL,,,10,1
10,1,O,CMA,,6,RSOB_FUL_20,RSOB,CN,20,FUL,,,10,1
10,1,O,CMA,,5,TSM_FUL_45,TSM,CN,45,FUL,S,Y,10,1
10,1,V,,,73,TTL_HCV,,HCV,,,,,10,1
10,1,C,,Q01,1415,TTL_MOVES,,,,,,,10,1
10,1,C,,Q02,1414,TTL_MOVES,,,,,,,10,1
11,1,O,CMA,,131,LOAD_FUL_45,LOAD,CN,45,FUL,D,,11,1
11,1,O,CMA,,137,DISC_FUL_45,DISC,CN,45,FUL,,,11,1
11,1,O,CMA,,29,RDR_FUL_20,RDR,CN,20,FUL,D,,11,1
11,1,O,CMA,,16,RSOB_FUL_45,RSOB,CN,45,FUL,S,,11,1
11,1,O,CMA,,13,TSM_FUL_20,TSM,CN,20,FUL,,Y,11,1
11,1,O,CMA,,1,MCR_FUL_20,MCR,CN,20,FUL,S,,11,1
11,1,O,OOL,,436,LOAD_FUL_40,LOAD,CN,40,FUL,,,11,1
11,1,O,OOL,,458,DISC_FUL_40,DISC,CN,40,FUL,,,11,1
11,1,O,OOL,,98,RDR_FUL_20,RDR,CN,20,FUL,S,,11,1
11,1,O,OOL,,54,RSOB_FUL_40,RSOB,CN,40,FUL,D,,11,1
11,1,O,OOL,,44,TSM_FUL_45,TSM,CN,45,FUL,D,Y,11,1
11,1,O,HLC,,523,LOAD_FUL_20,LOAD,CN,20,FUL,S,,11,1
