update_id,voyage,source,ship,published_at,eta_before,eta_after,delta_hrs,hrs_to_arrival
FU-1101#S_TE#8,FU-1101,S_TE,Jade Breeze,2026-08-13T08:47:31Z,2026-08-14T10:27:03Z,2026-08-14T08:48:58Z,-1.63,24.0
FU-1101#S_TE#9,FU-1101,S_TE,Jade Breeze,2026-08-13T11:47:31Z,2026-08-14T08:48:58Z,2026-08-14T10:42:08Z,1.89,21.0
FU-1101#S_TE#10,FU-1101,S_TE,Jade Breeze,2026-08-13T14:47:31Z,2026-08-14T10:42:08Z,2026-08-14T07:33:24Z,-3.15,18.0
FU-1101#S_TE#11,FU-1101,S_TE,Jade Breeze,2026-08-13T17:47:31Z,2026-08-14T07:33:24Z,2026-08-14T09:05:26Z,1.53,15.0
FU-1101#S_TE#12,FU-1101,S_TE,Jade Breeze,2026-08-13T20:47:31Z,2026-08-14T09:05:26Z,2026-08-14T08:51:58Z,-0.22,12.0
FU-1101#S_TE#13,FU-1101,S_TE,Jade Breeze,2026-08-13T23:47:31Z,2026-08-14T08:51:58Z,2026-08-14T08:41:23Z,-0.18,9.0
FU-1101#S_TE#14,FU-1101,S_TE,Jade Breeze,2026-08-14T02:47:31Z,2026-08-14T08:41:23Z,2026-08-14T08:59:38Z,0.3,6.0
FU-1102#S_FE#0,FU-1102,S_FE,Ripple,2026-08-09T22:09:57Z,2026-08-14T20:36:08Z,2026-08-14T00:16:15Z,-20.33,96.0
FU-1102#S_FE#1,FU-1102,S_FE,Ripple,2026-08-10T04:09:57Z,2026-08-14T00:16:15Z,2026-08-13T23:29:28Z,-0.78,90.0
FU-1102#S_FE#2,FU-1102,S_FE,Ripple,2026-08-10T10:09:57Z,2026-08-13T23:29:28Z,2026-08-13T22:59:38Z,-0.5,84.0
FU-1102#S_FE#3,FU-1102,S_FE,Ripple,2026-08-10T16:09:57Z,2026-08-13T22:59:38Z,2026-08-14T01:17:18Z,2.29,78.0
FU-1102#S_FE#4,FU-1102,S_FE,Ripple,2026-08-10T22:09:57Z,2026-08-14T01:17:18Z,2026-08-13T19:11:28Z,-6.1,72.0
FU-1102#S_FE#5,FU-1102,S_FE,Ripple,2026-08-11T04:09:57Z,2026-08-13T19:11:28Z,2026-08-14T08:43:41Z,13.54,66.0
FU-1102#S_FE#6,FU-1102,S_FE,Ripple,2026-08-11T10:09:57Z,2026-08-14T08:43:41Z,2026-08-13T21:23:01Z,-11.34,60.0
FU-1102#S_FE#7,FU-1102,S_FE,Ripple,2026-08-11T16:09:57Z,2026-08-13T21:23:01Z,2026-08-14T03:28:19Z,6.09,54.0
FU-1102#S_FE#8,FU-1102,S_FE,Ripple,2026-08-11T22:09:57Z,2026-08-14T03:28:19Z,2026-08-13T18:15:30Z,-9.21,48.0
FU-1102#S_FE#9,FU-1102,S_FE,Ripple,2026-08-12T04:09:57Z,2026-08-13T18:15:30Z,2026-08-13T22:20:26Z,4.08,42.0
FU-1102#S_FE#10,FU-1102,S_FE,Ripple,2026-08-12T10:09:57Z,2026-08-13T22:20:26Z,2026-08-13T22:40:13Z,0.33,36.0
FU-1102#S_FE#11,FU-1102,S_FE,Ripple,2026-08-12T16:09:57Z,2026-08-13T22:40:13Z,2026-08-13T22:39:15Z,-0.02,30.0
FU-1102#S_FE#12,FU-1102,S_FE,Ripple,2026-08-12T22:09:57Z,2026-08-13T22:39:15Z,2026-08-13T20:30:00Z,-2.15,24.0
FU-1102#S_FE#13,FU-1102,S_FE,Ripple,2026-08-13T04:09:57Z,2026-08-13T20:30:00Z,2026-08-13T21:14:20Z,0.74,18.0
FU-1102#S_FE#14,FU-1102,S_FE,Ripple,2026-08-13T10:09:57Z,2026-08-13T21:14:20Z,2026-08-13T22:01:03Z,0.78,12.0
FU-1102#S_ML#0,FU-1102,S_ML,Ripple,2026-07-30T22:09:57Z,2026-08-14T13:26:54Z,2026-08-14T08:19:35Z,-5.12,336.0
FU-1102#S_ML#1,FU-1102,S_ML,Ripple,2026-08-01T10:09:57Z,2026-08-14T08:19:35Z,2026-08-14T00:56:03Z,-7.39,300.0
FU-1102#S_ML#2,FU-1102,S_ML,Ripple,2026-08-02T22:09:57Z,2026-08-14T00:56:03Z,2026-08-13T16:46:10Z,-8.16,264.0
FU-1102#S_ML#3,FU-1102,S_ML,Ripple,2026-08-04T10:09:57Z,2026-08-13T16:46:10Z,2026-08-13T19:57:08Z,3.18,228.0
FU-1102#S_ML#4,FU-1102,S_ML,Ripple,2026-08-05T22:09:57Z,2026-08-13T19:57:08Z,2026-08-13T19:40:08Z,-0.28,192.0
FU-1102#S_ML#5,FU-1102,S_ML,Ripple,2026-08-07T10:09:57Z,2026-08-13T19:40:08Z,2026-08-13T23:32:26Z,3.87,156.0
FU-1102#S_ML#6,FU-1102,S_ML,Ripple,2026-08-08T22:09:57Z,2026-08-13T23:32:26Z,2026-08-13T22:42:35Z,-0.83,120.0
FU-1102#S_ML#7,FU-1102,S_ML,Ripple,2026-08-10T10:09:57Z,2026-08-13T22:42:35Z,2026-08-13T21:31:40Z,-1.18,84.0
FU-1102#S_ML#8,FU-1102,S_ML,Ripple,2026-08-11T22:09:57Z,2026-08-13T21:31:40Z,2026-08-13T22:26:22Z,0.91,48.0
FU-1102#S_ML#9,FU-1102,S_ML,Ripple,2026-08-13T10:09:57Z,2026-08-13T22:26:22Z,2026-08-13T22:32:38Z,0.1,12.0
FU-1102#S_TE#0,FU-1102,S_TE,Ripple,2026-08-11T22:09:57Z,2026-08-14T01:18:56Z,2026-08-13T20:00:23Z,-5.31,48.0
FU-1102#S_TE#1,FU-1102,S_TE,Ripple,2026-08-12T01:09:57Z,2026-08-13T20:00:23Z,2026-08-13T22:46:28Z,2.77,45.0
FU-1102#S_TE#2,FU-1102,S_TE,Ripple,2026-08-12T04:09:57Z,2026-08-13T22:46:28Z,2026-08-13T20:50:26Z,-1.93,42.0
FU-1102#S_TE#3,FU-1102,S_TE,Ripple,2026-08-12T07:09:57Z,2026-08-13T20:50:26Z,2026-08-14T00:19:10Z,3.48,39.0
FU-1102#S_TE#4,FU-1102,S_TE,Ripple,2026-08-12T10:09:57Z,2026-08-14T00:19:10Z,2026-08-13T19:57:16Z,-4.37,36.0
FU-1102#S_TE#5,FU-1102,S_TE,Ripple,2026-08-12T13:09:57Z,2026-08-13T19:57:16Z,2026-08-13T20:53:32Z,0.94,33.0
FU-1102#S_TE#6,FU-1102,S_TE,Ripple,2026-08-12T16:09:57Z,2026-08-13T20:53:32Z,2026-08-13T19:11:09Z,-1.71,30.0
FU-1102#S_TE#7,FU-1102,S_TE,Ripple,2026-08-12T19:09:57Z,2026-08-13T19:11:09Z,2026-08-13T23:27:05Z,4.27,27.0
FU-1102#S_TE#8,FU-1102,S_TE,Ripple,2026-08-12T22:09:57Z,2026-08-13T23:27:05Z,2026-08-13T21:45:05Z,-1.7,24.0
FU-1102#S_TE#9,FU-1102,S_TE,Ripple,2026-08-13T01:09:57Z,2026-08-13T21:45:05Z,2026-08-13T23:03:42Z,1.31,21.0
FU-1102#S_TE#10,FU-1102,S_TE,Ripple,2026-08-13T04:09:57Z,2026-08-13T23:03:42Z,2026-08-13T21:31:53Z,-1.53,18.0
FU-1102#S_TE#11,FU-1102,S_TE,Ripple,2026-08-13T07:09:57Z,2026-08-13T21:31:53Z,2026-08-13T22:05:56Z,0.57,15.0
FU-1102#S_TE#12,FU-1102,S_TE,Ripple,2026-08-13T10:09:57Z,2026-08-13T22:05:56Z,2026-08-13T22:30:04Z,0.4,12.0
FU-1102#S_TE#13,FU-1102,S_TE,Ripple,2026-08-13T13:09:57Z,2026-08-13T22:30:04Z,2026-08-13T22:45:04Z,0.25,9.0
FU-1102#S_TE#14,FU-1102,S_TE,Ripple,2026-08-13T16:09:57Z,2026-08-13T22:45:04Z,2026-08-13T21:54:58Z,-0.83,6.0
FU-1103#S_FE#0,FU-1103,S_FE,Tidepool,2026-08-12T06:15:05Z,2026-08-17T03:15:36Z,2026-08-16T05:07:06Z,-22.14,96.0
FU-1103#S_FE#1,FU-1103,S_FE,Tidepool,2026-08-12T12:15:05Z,2026-08-16T05:07:06Z,2026-08-15T23:08:01Z,-5.98,90.0
FU-1103#S_FE#2,FU-1103,S_FE,Tidepool,2026-08-12T18:15:05Z,2026-08-15T23:08:01Z,2026-08-16T05:33:19Z,6.42,84.0
FU-1103#S_FE#3,FU-1103,S_FE,Tidepool,2026-08-13T00:15:05Z,2026-08-16T05:33:19Z,2026-08-16T08:02:22Z,2.48,78.0
FU-1103#S_FE#4,FU-1103,S_FE,Tidepool,2026-08-13T06:15:05Z,2026-08-16T08:02:22Z,2026-08-16T00:44:58Z,-7.29,72.0
FU-1103#S_FE#5,FU-1103,S_FE,Tidepool,2026-08-13T12:15:05Z,2026-08-16T00:44:58Z,2026-08-16T09:50:07Z,9.09,66.0
FU-1103#S_FE#6,FU-1103,S_FE,Tidepool,2026-08-13T18:15:05Z,2026-08-16T09:50:07Z,2026-08-16T11:50:28Z,2.01,60.0
FU-1103#S_FE#7,FU-1103,S_FE,Tidepool,2026-08-14T00:15:05Z,2026-08-16T11:50:28Z,2026-08-16T04:48:19Z,-7.04,54.0
FU-1103#S_FE#8,FU-1103,S_FE,Tidepool,2026-08-14T06:15:05Z,2026-08-16T04:48:19Z,2026-08-16T02:59:02Z,-1.82,48.0
FU-1103#S_FE#9,FU-1103,S_FE,Tidepool,2026-08-14T12:15:05Z,2026-08-16T02:59:02Z,2026-08-16T08:40:39Z,5.69,42.0
FU-1103#S_FE#10,FU-1103,S_FE,Tidepool,2026-08-14T18:15:05Z,2026-08-16T08:40:39Z,2026-08-16T07:58:45Z,-0.7,36.0
FU-1103#S_FE#11,FU-1103,S_FE,Tidepool,2026-08-15T00:15:05Z,2026-08-16T07:58:45Z,2026-08-16T05:12:33Z,-2.77,30.0
FU-1103#S_FE#12,FU-1103,S_FE,Tidepool,2026-08-15T06:15:05Z,2026-08-16T05:12:33Z,2026-08-16T04:54:45Z,-0.3,24.0
FU-1103#S_FE#13,FU-1103,S_FE,Tidepool,2026-08-15T12:15:05Z,2026-08-16T04:54:45Z,2026-08-16T04:46:16Z,-0.14,18.0
FU-1103#S_FE#14,FU-1103,S_FE,Tidepool,2026-08-15T18:15:05Z,2026-08-16T04:46:16Z,2026-08-16T05:24:40Z,0.64,12.0
FU-1103#S_ML#0,FU-1103,S_ML,Tidepool,2026-08-02T06:15:05Z,2026-08-16T12:32:07Z,2026-08-16T06:05:11Z,-6.45,336.0
FU-1103#S_ML#1,FU-1103,S_ML,Tidepool,2026-08-03T18:15:05Z,2026-08-16T06:05:11Z,2026-08-17T01:05:35Z,19.01,300.0
FU-1103#S_ML#2,FU-1103,S_ML,Tidepool,2026-08-05T06:15:05Z,2026-08-17T01:05:35Z,2026-08-16T07:12:16Z,-17.89,264.0
FU-1103#S_ML#3,FU-1103,S_ML,Tidepool,2026-08-06T18:15:05Z,2026-08-16T07:12:16Z,2026-08-16T09:24:43Z,2.21,228.0
FU-1103#S_ML#4,FU-1103,S_ML,Tidepool,2026-08-08T06:15:05Z,2026-08-16T09:24:43Z,2026-08-16T06:41:55Z,-2.71,192.0
FU-1103#S_ML#5,FU-1103,S_ML,Tidepool,2026-08-09T18:15:05Z,2026-08-16T06:41:55Z,2026-08-16T06:13:19Z,-0.48,156.0
FU-1103#S_ML#6,FU-1103,S_ML,Tidepool,2026-08-11T06:15:05Z,2026-08-16T06:13:19Z,2026-08-16T08:27:17Z,2.23,120.0
FU-1103#S_ML#7,FU-1103,S_ML,Tidepool,2026-08-12T18:15:05Z,2026-08-16T08:27:17Z,2026-08-16T02:37:31Z,-5.83,84.0
FU-1103#S_ML#8,FU-1103,S_ML,Tidepool,2026-08-14T06:15:05Z,2026-08-16T02:37:31Z,2026-08-16T05:14:43Z,2.62,48.0
FU-1103#S_ML#9,FU-1103,S_ML,Tidepool,2026-08-15T18:15:05Z,2026-08-16T05:14:43Z,2026-08-16T05:52:19Z,0.63,12.0
FU-1103#S_TE#0,FU-1103,S_TE,Tidepool,2026-08-14T06:15:05Z,2026-08-15T16:22:24Z,2026-08-16T03:02:00Z,10.66,48.0
FU-1103#S_TE#1,FU-1103,S_TE,Tidepool,2026-08-14T09:15:05Z,2026-08-16T03:02:00Z,2026-08-16T05:37:56Z,2.6,45.0
FU-1103#S_TE#2,FU-1103,S_TE,Tidepool,2026-08-14T12:15:05Z,2026-08-16T05:37:56Z,2026-08-16T06:44:48Z,1.11,42.0
FU-1103#S_TE#3,FU-1103,S_TE,Tidepool,2026-08-14T15:15:05Z,2026-08-16T06:44:48Z,2026-08-16T06:08:36Z,-0.6,39.0
FU-1103#S_TE#4,FU-1103,S_TE,Tidepool,2026-08-14T18:15:05Z,2026-08-16T06:08:36Z,2026-08-16T05:05:04Z,-1.06,36.0
FU-1103#S_TE#5,FU-1103,S_TE,Tidepool,2026-08-14T21:15:05Z,2026-08-16T05:05:04Z,2026-08-16T05:10:30Z,0.09,33.0
FU-1103#S_TE#6,FU-1103,S_TE,Tidepool,2026-08-15T00:15:05Z,2026-08-16T05:10:30Z,2026-08-16T06:09:23Z,0.98,30.0
FU-1103#S_TE#7,FU-1103,S_TE,Tidepool,2026-08-15T03:15:05Z,2026-08-16T06:09:23Z,2026-08-16T06:20:17Z,0.18,27.0
FU-1103#S_TE#8,FU-1103,S_TE,Tidepool,2026-08-15T06:15:05Z,2026-08-16T06:20:17Z,2026-08-16T05:33:53Z,-0.77,24.0
FU-1103#S_TE#9,FU-1103,S_TE,Tidepool,2026-08-15T09:15:05Z,2026-08-16T05:33:53Z,2026-08-16T06:37:46Z,1.06,21.0
FU-1103#S_TE#10,FU-1103,S_TE,Tidepool,2026-08-15T12:15:05Z,2026-08-16T06:37:46Z,2026-08-16T08:10:59Z,1.55,18.0
FU-1103#S_TE#11,FU-1103,S_TE,Tidepool,2026-08-15T15:15:05Z,2026-08-16T08:10:59Z,2026-08-16T06:20:05Z,-1.85,15.0
FU-1103#S_TE#12,FU-1103,S_TE,Tidepool,2026-08-15T18:15:05Z,2026-08-16T06:20:05Z,2026-08-16T06:56:22Z,0.6,12.0
FU-1103#S_TE#13,FU-1103,S_TE,Tidepool,2026-08-15T21:15:05Z,2026-08-16T06:56:22Z,2026-08-16T05:54:41Z,-1.03,9.0
FU-1103#S_TE#14,FU-1103,S_TE,Tidepool,2026-08-16T00:15:05Z,2026-08-16T05:54:41Z,2026-08-16T06:20:18Z,0.43,6.0
FU-1104#S_FE#0,FU-1104,S_FE,Wheeltail,2026-08-07T12:12:07Z,2026-08-10T12:16:49Z,2026-08-11T12:49:21Z,24.54,96.0
FU-1104#S_FE#1,FU-1104,S_FE,Wheeltail,2026-08-07T18:12:07Z,2026-08-11T12:49:21Z,2026-08-11T17:44:33Z,4.92,90.0
FU-1104#S_FE#2,FU-1104,S_FE,Wheeltail,2026-08-08T00:12:07Z,2026-08-11T17:44:33Z,2026-08-11T09:24:34Z,-8.33,84.0
FU-1104#S_FE#3,FU-1104,S_FE,Wheeltail,2026-08-08T06:12:07Z,2026-08-11T09:24:34Z,2026-08-11T20:35:39Z,11.18,78.0
FU-1104#S_FE#4,FU-1104,S_FE,Wheeltail,2026-08-08T12:12:07Z,2026-08-11T20:35:39Z,2026-08-11T17:37:46Z,-2.96,72.0
FU-1104#S_FE#5,FU-1104,S_FE,Wheeltail,2026-08-08T18:12:07Z,2026-08-11T17:37:46Z,2026-08-11T15:19:33Z,-2.3,66.0
FU-1104#S_FE#6,FU-1104,S_FE,Wheeltail,2026-08-09T00:12:07Z,2026-08-11T15:19:33Z,2026-08-11T14:22:30Z,-0.95,60.0
FU-1104#S_FE#7,FU-1104,S_FE,Wheeltail,2026-08-09T06:12:07Z,2026-08-11T14:22:30Z,2026-08-11T13:17:03Z,-1.09,54.0
FU-1104#S_FE#8,FU-1104,S_FE,Wheeltail,2026-08-09T12:12:07Z,2026-08-11T13:17:03Z,2026-08-11T16:23:58Z,3.12,48.0
FU-1104#S_FE#9,FU-1104,S_FE,Wheeltail,2026-08-09T18:12:07Z,2026-08-11T16:23:58Z,2026-08-11T10:43:50Z,-5.67,42.0
FU-1104#S_FE#10,FU-1104,S_FE,Wheeltail,2026-08-10T00:12:07Z,2026-08-11T10:43:50Z,2026-08-11T11:32:54Z,0.82,36.0
FU-1104#S_FE#11,FU-1104,S_FE,Wheeltail,2026-08-10T06:12:07Z,2026-08-11T11:32:54Z,2026-08-11T11:41:01Z,0.14,30.0
FU-1104#S_FE#12,FU-1104,S_FE,Wheeltail,2026-08-10T12:12:07Z,2026-08-11T11:41:01Z,2026-08-11T11:31:15Z,-0.16,24.0
FU-1104#S_FE#13,FU-1104,S_FE,Wheeltail,2026-08-10T18:12:07Z,2026-08-11T11:31:15Z,2026-08-11T10:40:33Z,-0.84,18.0
FU-1104#S_FE#14,FU-1104,S_FE,Wheeltail,2026-08-11T00:12:07Z,2026-08-11T10:40:33Z,2026-08-11T12:31:00Z,1.84,12.0
FU-1104#S_ML#0,FU-1104,S_ML,Wheeltail,2026-07-28T12:12:07Z,2026-08-10T17:01:21Z,2026-08-11T19:42:51Z,26.69,336.0
FU-1104#S_ML#1,FU-1104,S_ML,Wheeltail,2026-07-30T00:12:07Z,2026-08-11T19:42:51Z,2026-08-11T13:42:01Z,-6.01,300.0
FU-1104#S_ML#2,FU-1104,S_ML,Wheeltail,2026-07-31T12:12:07Z,2026-08-11T13:42:01Z,2026-08-11T04:13:47Z,-9.47,264.0
FU-1104#S_ML#3,FU-1104,S_ML,Wheeltail,2026-08-02T00:12:07Z,2026-08-11T04:13:47Z,2026-08-11T17:25:56Z,13.2,228.0
FU-1104#S_ML#4,FU-1104,S_ML,Wheeltail,2026-08-03T12:12:07Z,2026-08-11T17:25:56Z,2026-08-11T06:23:41Z,-11.04,192.0
FU-1104#S_ML#5,FU-1104,S_ML,Wheeltail,2026-08-05T00:12:07Z,2026-08-11T06:23:41Z,2026-08-11T12:13:46Z,5.83,156.0
FU-1104#S_ML#6,FU-1104,S_ML,Wheeltail,2026-08-06T12:12:07Z,2026-08-11T12:13:46Z,2026-08-11T14:05:31Z,1.86,120.0
FU-1104#S_ML#7,FU-1104,S_ML,Wheeltail,2026-08-08T00:12:07Z,2026-08-11T14:05:31Z,2026-08-11T12:16:19Z,-1.82,84.0
FU-1104#S_ML#8,FU-1104,S_ML,Wheeltail,2026-08-09T12:12:07Z,2026-08-11T12:16:19Z,2026-08-11T13:15:59Z,0.99,48.0
FU-1104#S_ML#9,FU-1104,S_ML,Wheeltail,2026-08-11T00:12:07Z,2026-08-11T13:15:59Z,2026-08-11T12:12:01Z,-1.07,12.0
FU-1104#S_TE#0,FU-1104,S_TE,Wheeltail,2026-08-09T12:12:07Z,2026-08-12T06:41:13Z,2026-08-11T11:47:41Z,-18.89,48.0
FU-1104#S_TE#1,FU-1104,S_TE,Wheeltail,2026-08-09T15:12:07Z,2026-08-11T11:47:41Z,2026-08-11T12:19:42Z,0.53,45.0
FU-1104#S_TE#2,FU-1104,S_TE,Wheeltail,2026-08-09T18:12:07Z,2026-08-11T12:19:42Z,2026-08-11T11:54:56Z,-0.41,42.0
FU-1104#S_TE#3,FU-1104,S_TE,Wheeltail,2026-08-09T21:12:07Z,2026-08-11T11:54:56Z,2026-08-11T12:14:57Z,0.33,39.0
FU-1104#S_TE#4,FU-1104,S_TE,Wheeltail,2026-08-10T00:12:07Z,2026-08-11T12:14:57Z,2026-08-11T09:34:25Z,-2.68,36.0
FU-1104#S_TE#5,FU-1104,S_TE,Wheeltail,2026-08-10T03:12:07Z,2026-08-11T09:34:25Z,2026-08-11T12:26:59Z,2.88,33.0
FU-1104#S_TE#6,FU-1104,S_TE,Wheeltail,2026-08-10T06:12:07Z,2026-08-11T12:26:59Z,2026-08-11T10:56:52Z,-1.5,30.0
FU-1104#S_TE#7,FU-1104,S_TE,Wheeltail,2026-08-10T09:12:07Z,2026-08-11T10:56:52Z,2026-08-11T13:48:43Z,2.86,27.0
FU-1104#S_TE#8,FU-1104,S_TE,Wheeltail,2026-08-10T12:12:07Z,2026-08-11T13:48:43Z,2026-08-11T10:57:06Z,-2.86,24.0
FU-1104#S_TE#9,FU-1104,S_TE,Wheeltail,2026-08-10T15:12:07Z,2026-08-11T10:57:06Z,2026-08-11T12:08:21Z,1.19,21.0
FU-1104#S_TE#10,FU-1104,S_TE,Wheeltail,2026-08-10T18:12:07Z,2026-08-11T12:08:21Z,2026-08-11T12:53:29Z,0.75,18.0
FU-1104#S_TE#11,FU-1104,S_TE,Wheeltail,2026-08-10T21:12:07Z,2026-08-11T12:53:29Z,2026-08-11T12:23:20Z,-0.5,15.0
FU-1104#S_TE#12,FU-1104,S_TE,Wheeltail,2026-08-11T00:12:07Z,2026-08-11T12:23:20Z,2026-08-11T12:32:06Z,0.15,12.0
FU-1104#S_TE#13,FU-1104,S_TE,Wheeltail,2026-08-11T03:12:07Z,2026-08-11T12:32:06Z,2026-08-11T11:43:19Z,-0.81,9.0
FU-1104#S_TE#14,FU-1104,S_TE,Wheeltail,2026-08-11T06:12:07Z,2026-08-11T11:43:19Z,2026-08-11T12:45:01Z,1.03,6.0
FX118E#S_FE#0,FX118E,S_FE,Eastern Amethyst,2026-08-12T20:45:00Z,2026-08-16T07:40:01Z,2026-08-16T06:58:23Z,-0.69,96.0
FX118E#S_FE#1,FX118E,S_FE,Eastern Amethyst,2026-08-13T02:45:00Z,2026-08-16T06:58:23Z,2026-08-16T20:41:19Z,13.72,90.0
FX118E#S_FE#2,FX118E,S_FE,Eastern Amethyst,2026-08-13T08:45:00Z,2026-08-16T20:41:19Z,2026-08-16T15:51:25Z,-4.83,84.0
FX118E#S_FE#3,FX118E,S_FE,Eastern Amethyst,2026-08-13T14:45:00Z,2026-08-16T15:51:25Z,2026-08-16T13:41:01Z,-2.17,78.0
FX118E#S_FE#4,FX118E,S_FE,Eastern Amethyst,2026-08-13T20:45:00Z,2026-08-16T13:41:01Z,2026-08-16T17:18:53Z,3.63,72.0
