sailing_id,booking_ref,teu,shipper_id,roll_window,rolled_flag
EU1-V15,BK205,1,5187,7D,N
EU1-V15,BK206,40,7240,10D,Y
EU1-V15,BK207,40,4968,30D,N
IP1-V20,BK200,10,9963,14D,N
IP1-V20,BK201,20,6071,10D,Y
IP1-V20,BK202,5,6494,14D,N
IP1-V20,BK203,40,9237,7D,N
IP1-V20,BK204,5,1081,10D,N
IP1-V21,BK220,1,4814,14D,N
IP1-V21,BK221,2,3543,30D,N
IP1-V21,BK222,80,9096,21D,N
IP1-V21,BK223,3,3371,14D,N
IP1-V21,BK224,1,9404,30D,N
IP1-V21,BK225,40,9282,30D,N
IP1-V21,BK226,3,1263,30D,N
IP1-V21,BK227,80,4767,30D,N
IP1-V21,BK228,2,6909,7D,Y
IP1-V21,BK229,2,1831,21D,N
IP1-V21,BK230,1,5006,30D,N
IP1-V22,BK240,40,2082,7D,N
IP1-V22,BK241,40,5350,14D,N
IP1-V22,BK242,5,4780,30D,N
IP1-V22,BK243,40,2257,21D,N
IP1-V22,BK244,40,1765,30D,N
IP1-V22,BK245,80,2269,30D,N
IP1-V22,BK246,80,5987,10D,N
IP1-V22,BK247,80,8903,30D,Y
IP1-V22,BK248,1,2630,21D,N
IP1-V22,BK249,5,9462,30D,N
IP1-V22,BK250,10,2941,21D,N
IP1-V22,BK251,40,2406,10D,N
IP1-V22,BK252,40,2252,7D,N
IP1-V23,BK260,5,3322,7D,N
IP1-V23,BK261,40,3172,14D,N
IP1-V23,BK262,80,5580,30D,N
IP1-V23,BK263,2,9157,30D,N
IP1-V23,BK264,40,1058,21D,Y
IP1-V23,BK265,40,5947,30D,N
IP1-V23,BK266,3,6178,21D,N
IP1-V23,BK267,2,6317,30D,N
IP1-V24,BK280,10,7437,14D,N
IP1-V24,BK281,40,6909,30D,N
IP1-V24,BK282,40,1790,30D,N
IP1-V24,BK283,10,5679,7D,Y
IP1-V24,BK284,3,8147,10D,N
IP1-V25,BK300,40,2320,30D,N
IP1-V25,BK301,1,3270,30D,N
IP1-V25,BK302,10,3085,21D,Y
IP1-V25,BK303,3,5616,21D,N
IP1-V25,BK304,10,5262,14D,N
SE1-V30,BK300,2,9144,10D,N
SE1-V30,BK301,40,6453,10D,N
SE1-V30,BK302,40,4152,21D,Y
SE1-V30,BK303,5,2492,7D,Y
SE1-V30,BK304,20,4311,10D,N
SE1-V30,BK305,1,7272,30D,N
SE1-V30,BK306,40,7174,30D,N
SE1-V31,BK320,40,4538,30D,N
SE1-V31,BK321,2,7300,14D,N
SE1-V31,BK322,40,6112,30D,N
SE1-V31,BK323,1,8754,10D,Y
SE1-V31,BK324,80,7414,21D,Y
SE1-V31,BK325,40,8355,30D,N
SE1-V31,BK326,5,3529,30D,Y
SE1-V31,BK327,3,2784,30D,N
SE1-V31,BK328,40,1647,7D,N
SE1-V31,BK329,1,1615,30D,Y
SE1-V31,BK330,10,9654,10D,N
SE1-V31,BK331,40,2629,30D,N
SE1-V31,BK332,2,4140,14D,N
SE1-V32,BK340,10,4970,14D,N
SE1-V32,BK341,40,5047,30D,N
SE1-V32,BK342,1,6036,21D,N
SE1-V32,BK343,1,7881,7D,N
SE1-V32,BK344,2,7952,14D,N
SE1-V32,BK345,20,6538,10D,N
SE1-V32,BK346,40,4245,14D,N
SE1-V32,BK347,1,9271,30D,N
SE1-V32,BK348,2,4283,10D,N
SE1-V32,BK349,10,4781,30D,N
SE1-V32,BK350,40,5832,10D,N
SE1-V32,BK351,2,4068,30D,N
SE1-V33,BK360,1,3325,10D,Y
SE1-V33,BK361,40,4016,7D,N
SE1-V33,BK362,40,6147,21D,N
SE1-V33,BK363,2,6394,7D,N
SE1-V33,BK364,5,9598,10D,N
SE1-V33,BK365,40,7203,7D,N
SE1-V33,BK366,20,2785,14D,N
SE1-V33,BK367,1,6758,7D,N
SE1-V33,BK368,40,4398,7D,N
SE1-V33,BK369,40,6057,14D,N
SE1-V33,BK370,40,8757,7D,Y
SE1-V34,BK380,1,7631,30D,N
SE1-V34,BK381,1,2025,21D,Y
SE1-V34,BK382,1,2029,14D,N
SE1-V34,BK383,80,6488,14D,N
SE1-V34,BK384,80,6185,7D,N
SE1-V34,BK385,10,2070,14D,Y
SE1-V34,BK386,1,8785,30D,N
SE1-V34,BK387,40,5113,30D,N
SE1-V34,BK388,40,9135,30D,N
SE1-V34,BK389,3,5969,7D,N
SE1-V34,BK390,3,6235,30D,N
SE1-V34,BK391,40,2294,14D,N
SE1-V35,BK400,40,7988,30D,N
SE1-V35,BK401,2,2377,7D,N
SE1-V35,BK402,5,8323,7D,N
SE1-V35,BK403,3,8551,10D,Y
SE1-V35,BK404,80,9823,30D,N
SE1-V35,BK405,2,5813,30D,N
SE1-V35,BK406,10,5162,30D,N
SE1-V35,BK407,10,4043,10D,N
SE1-V35,BK408,5,4084,10D,Y
SE1-V35,BK409,20,5029,7D,N
SE1-V35,BK410,40,2647,30D,N
SE1-V35,BK411,40,8778,7D,Y
EU1-V40,BK400,2,4181,7D,N
EU1-V40,BK401,2,3912,14D,N
EU1-V40,BK402,40,1103,30D,N
EU1-V40,BK403,2,6729,30D,N
EU1-V40,BK404,5,3316,7D,N
EU1-V40,BK405,1,1626,10D,N
EU1-V40,BK406,80,4333,30D,N
EU1-V40,BK407,1,7091,30D,N
EU1-V41,BK420,40,3532,7D,N
EU1-V41,BK421,40,7517,7D,N
EU1-V41,BK422,10,6039,21D,N
EU1-V41,BK423,40,6852,7D,N
EU1-V41,BK424,40,6960,21D,Y
EU1-V41,BK425,5,4336,21D,N
EU1-V42,BK440,20,3129,21D,N
EU1-V42,BK441,1,7499,7D,N
EU1-V42,BK442,2,7075,30D,N
EU1-V42,BK443,40,5641,10D,Y
EU1-V42,BK444,3,2099,30D,Y
EU1-V42,BK445,2,4233,21D,N
EU1-V42,BK446,10,1712,10D,N
EU1-V42,BK447,40,7355,14D,Y
EU1-V42,BK448,2,3625,30D,N
EU1-V42,BK449,5,4213,30D,N
EU1-V42,BK450,40,1683,10D,N
EU1-V42,BK451,40,6885,30D,Y
EU1-V42,BK452,2,4155,10D,N
EU1-V42,BK453,1,1624,30D,N
EU1-V43,BK460,40,7975,14D,N
EU1-V43,BK461,40,9250,30D,N
EU1-V43,BK462,40,9019,10D,Y
EU1-V43,BK463,40,8508,10D,N
EU1-V43,BK464,3,2754,30D,N
EU1-V43,BK465,2,6985,10D,N
EU1-V43,BK466,2,9358,30D,N
EU1-V43,BK467,1,2347,7D,N
EU1-V43,BK468,20,2310,30D,N
EU1-V44,BK480,80,2795,30D,N
EU1-V44,BK481,5,9058,10D,N
EU1-V44,BK482,10,3705,30D,N
EU1-V44,BK483,5,5132,7D,N
EU1-V44,BK484,3,5505,14D,N
EU1-V44,BK485,40,8866,10D,N
EU1-V45,BK500,40,5557,10D,N
EU1-V45,BK501,20,5330,21D,Y
EU1-V45,BK502,2,6894,30D,N
EU1-V45,BK503,40,2713,30D,N
EU1-V45,BK504,10,7459,30D,N
EU1-V45,BK505,20,7044,14D,N
EU1-V45,BK506,80,2333,10D,N
IP1-V50,BK500,10,6122,14D,N
IP1-V50,BK501,1,3447,30D,Y
IP1-V50,BK502,10,7843,30D,N
IP1-V50,BK503,40,3163,14D,N
IP1-V50,BK504,40,1746,10D,N
IP1-V50,BK505,1,6815,7D,Y
IP1-V50,BK506,10,9750,7D,N
IP1-V50,BK507,5,3190,21D,N
IP1-V50,BK508,5,8780,14D,N
IP1-V50,BK509,3,4990,10D,Y
IP1-V50,BK510,3,3370,21D,Y
IP1-V50,BK511,10,1188,21D,N
IP1-V50,BK512,1,6739,30D,N
IP1-V51,BK520,5,1720,10D,N
IP1-V51,BK521,1,4041,30D,Y
IP1-V51,BK522,5,2718,10D,Y
IP1-V51,BK523,1,4231,30D,N
IP1-V51,BK524,3,9305,21D,N
IP1-V51,BK525,40,9332,30D,N
IP1-V51,BK526,10,1794,7D,N
IP1-V51,BK527,40,7146,30D,N
IP1-V51,BK528,40,2318,30D,N
IP1-V51,BK529,40,2724,10D,N
IP1-V51,BK530,10,3019,10D,N
IP1-V51,BK531,20,5313,30D,N
IP1-V52,BK540,10,4555,14D,N
IP1-V52,BK541,2,5265,30D,Y
IP1-V52,BK542,5,3608,30D,N
IP1-V52,BK543,20,6383,10D,N
IP1-V52,BK544,80,9787,10D,N
IP1-V52,BK545,40,1104,21D,N
IP1-V52,BK546,1,4831,21D,N
IP1-V52,BK547,80,7415,14D,N
IP1-V52,BK548,80,3810,30D,Y
IP1-V52,BK549,3,2747,7D,Y
IP1-V52,BK550,80,3323,10D,N
IP1-V52,BK551,1,1698,7D,Y
IP1-V52,BK552,2,6954,30D,Y
IP1-V53,BK560,2,2834,10D,N
IP1-V53,BK561,1,2433,7D,N
IP1-V53,BK562,10,2603,21D,Y
IP1-V53,BK563,5,7942,14D,N
IP1-V53,BK564,10,5630,7D,N
IP1-V53,BK565,1,6256,30D,N
IP1-V53,BK566,80,5712,30D,N
IP1-V53,BK567,80,7765,30D,Y
IP1-V53,BK568,1,2610,21D,N
IP1-V53,BK569,20,9812,21D,N
IP1-V53,BK570,80,2489,10D,N
IP1-V54,BK580,1,2567,7D,N
IP1-V54,BK581,40,4023,30D,N
IP1-V54,BK582,40,9440,30D,N
IP1-V54,BK583,10,5648,30D,N
IP1-V54,BK584,5,3716,30D,N
IP1-V54,BK585,2,9032,30D,N
IP1-V54,BK586,40,6351,30D,Y
IP1-V54,BK587,20,7465,7D,N
IP1-V54,BK588,2,1412,21D,N
IP1-V55,BK600,40,8551,30D,N
IP1-V55,BK601,3,1555,30D,N
IP1-V55,BK602,20,3544,30D,N
IP1-V55,BK603,40,6297,30D,N
IP1-V55,BK604,3,5214,21D,N
IP1-V55,BK605,80,8569,10D,Y
IP1-V55,BK606,5,5939,30D,N
SE1-V60,BK600,80,4870,30D,N
SE1-V60,BK601,20,2667,10D,N
SE1-V60,BK602,3,7295,30D,Y
SE1-V60,BK603,3,5872,10D,N
SE1-V60,BK604,40,2750,14D,N
SE1-V60,BK605,10,8600,10D,N
SE1-V60,BK606,1,8152,7D,N
SE1-V60,BK607,5,5853,30D,N
SE1-V60,BK608,40,7630,7D,Y
SE1-V60,BK609,1,8045,30D,N
SE1-V61,BK620,5,3035,30D,N
SE1-V61,BK621,40,2603,21D,N
SE1-V61,BK622,40,3563,10D,N
SE1-V61,BK623,10,8457,30D,N
SE1-V61,BK624,1,9491,30D,N
SE1-V61,BK625,3,1174,30D,N
SE1-V61,BK626,40,2742,30D,N
SE1-V61,BK627,1,3635,14D,N
SE1-V61,BK628,5,8483,30D,N
SE1-V61,BK629,40,9391,10D,N
SE1-V61,BK630,1,7060,30D,N
SE1-V61,BK631,40,8486,14D,N
SE1-V61,BK632,5,9417,30D,N
SE1-V61,BK633,2,6824,30D,N
SE1-V62,BK640,20,4677,30D,N
SE1-V62,BK641,10,9635,30D,N
SE1-V62,BK642,5,8571,30D,N
SE1-V62,BK643,5,2128,10D,Y
SE1-V62,BK644,5,4702,21D,N
SE1-V62,BK645,3,7771,14D,N
SE1-V62,BK646,40,3050,14D,N
SE1-V62,BK647,40,4775,14D,N
SE1-V62,BK648,10,5154,30D,N
SE1-V62,BK649,40,1044,30D,N
SE1-V62,BK650,10,5945,14D,N
SE1-V63,BK660,10,2397,30D,N
SE1-V63,BK661,80,3300,14D,N
SE1-V63,BK662,40,1245,30D,N
SE1-V63,BK663,1,5800,10D,N
SE1-V63,BK664,10,3338,30D,Y
SE1-V63,BK665,5,6676,10D,N
SE1-V63,BK666,3,9757,10D,N
SE1-V64,BK680,10,4491,10D,N
SE1-V64,BK681,40,8185,7D,N
SE1-V64,BK682,2,7865,30D,Y
SE1-V64,BK683,5,9078,30D,Y
SE1-V64,BK684,40,3366,7D,N
SE1-V64,BK685,40,9839,10D,N
SE1-V64,BK686,80,3627,30D,N
SE1-V64,BK687,20,9152,21D,N
SE1-V64,BK688,10,7976,30D,N
SE1-V64,BK689,40,6904,30D,Y
SE1-V64,BK690,1,6414,7D,N
SE1-V64,BK691,2,3367,30D,N
SE1-V64,BK692,1,3079,10D,N
SE1-V65,BK700,10,5121,21D,N
SE1-V65,BK701,40,5798,7D,N
SE1-V65,BK702,20,6467,30D,N
SE1-V65,BK703,40,6649,14D,N
SE1-V65,BK704,5,2932,30D,N
SE1-V65,BK705,20,5902,10D,N
SE1-V65,BK706,3,2434,30D,N
SE1-V65,BK707,1,7652,21D,N
EU1-V70,BK700,80,9205,30D,N
EU1-V70,BK701,40,3409,30D,N
EU1-V70,BK702,80,1646,30D,Y
EU1-V70,BK703,40,2660,30D,N
EU1-V70,BK704,3,2648,30D,Y
EU1-V70,BK705,1,3272,14D,N
EU1-V70,BK706,10,5948,30D,N
EU1-V70,BK707,3,1334,21D,Y
EU1-V70,BK708,40,1894,30D,N
EU1-V70,BK709,40,2947,30D,N
EU1-V70,BK710,40,7629,30D,N
EU1-V70,BK711,40,7342,7D,Y
EU1-V71,BK720,2,4477,7D,N
EU1-V71,BK721,3,1078,30D,Y
EU1-V71,BK722,1,2444,30D,N
EU1-V71,BK723,5,8738,30D,Y
EU1-V71,BK724,1,4969,14D,N
EU1-V71,BK725,40,1821,30D,N
EU1-V71,BK726,20,3372,30D,N
EU1-V71,BK727,2,9160,14D,N
EU1-V71,BK728,40,5162,30D,N
EU1-V71,BK729,1,1992,30D,Y
EU1-V71,BK730,1,2305,30D,N
EU1-V71,BK731,40,3719,14D,N
EU1-V71,BK732,40,7022,30D,Y
EU1-V72,BK740,20,7847,30D,Y
EU1-V72,BK741,40,8417,21D,N
EU1-V72,BK742,10,6470,30D,N
EU1-V72,BK743,10,6440,14D,Y
EU1-V72,BK744,80,3475,30D,N
EU1-V72,BK745,80,8021,30D,N
EU1-V73,BK760,40,6267,14D,N
EU1-V73,BK761,10,1692,14D,N
EU1-V73,BK762,10,3408,30D,Y
EU1-V73,BK763,10,9975,30D,N
EU1-V73,BK764,40,9847,14D,N
EU1-V73,BK765,40,4283,21D,N
EU1-V73,BK766,5,7479,14D,N
EU1-V73,BK767,40,5173,30D,N
EU1-V74,BK780,2,9536,10D,N
EU1-V74,BK781,10,8808,30D,N
EU1-V74,BK782,40,4484,30D,N
EU1-V74,BK783,5,5748,7D,N
EU1-V74,BK784,20,7594,30D,N
EU1-V74,BK785,40,1730,30D,Y
EU1-V74,BK786,40,7089,14D,N
EU1-V74,BK787,40,6173,30D,Y
EU1-V74,BK788,80,9510,7D,N
EU1-V74,BK789,80,4352,7D,Y
EU1-V75,BK800,40,3144,7D,N
EU1-V75,BK801,10,4293,30D,Y
EU1-V75,BK802,3,1835,21D,Y
EU1-V75,BK803,1,8508,30D,N
EU1-V75,BK804,40,2051,30D,N
EU1-V75,BK805,80,2964,30D,N
EU1-V75,BK806,2,4820,14D,N
EU1-V75,BK807,2,3992,30D,N
EU1-V75,BK808,40,4852,30D,Y
